Telugu,Tamil,Tamil_tokens,Telugu_tokens
చెప్పారు,என்கிறார்,['என்கிறார்'],['చెప్పారు']
హా హా  చాలా ఫన్నీ,ஹஹா  மிகவும் வேடிக்கையான,"['ஹஹா', 'மிகவும்', 'வேடிக்கையான']","['హా', 'హా', 'చాలా', 'ఫన్నీ']"
చెప్పారు,என்கிறார்,['என்கிறார்'],['చెప్పారు']
తర్వాత  పేజీ,அடுத்த  பக்கம்,"['அடுத்த', 'பக்கம்']","['తర్వాత', 'పేజీ']"
గంట  నిమిషం,ஹவர்  நிமிடம்,"['ஹவர்', 'நிமிடம்']","['గంట', 'నిమిషం']"
ఏ చెడు వాసన,எந்த விரும்பத்தகாத வாசனையை,"['எந்த', 'விரும்பத்தகாத', 'வாசனையை']","['ఏ', 'చెడు', 'వాసన']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
మిస్లాండోడ్   లు   కర్ల్  ప్రీఫిన్డ్ వాల్యూమ్ వెంట్రుష్,பிசிக்கள்   கர்ல்  முன்வார்ன்ட் வால்யூம் லீலாஷ்,"['பிசிக்கள்', 'கர்ல்', 'முன்வார்ன்ட்', 'வால்யூம்', 'லீலாஷ்']","['మిస్లాండోడ్', 'లు', 'కర్ల్', 'ప్రీఫిన్డ్', 'వాల్యూమ్', 'వెంట్రుష్']"
వ్యాకరణం ఈ ఆ ఏమి ఉంది,இலக்கணம் இந்த என்று என்ன,"['இலக்கணம்', 'இந்த', 'என்று', 'என்ன']","['వ్యాకరణం', 'ఈ', 'ఆ', 'ఏమి', 'ఉంది']"
టెల్,தொலைபேசி,['தொலைபேசி'],['టెల్']
సేల్స్ హాట్లైన్ను,விற்பனை ஹாட்லைன்,"['விற்பனை', 'ஹாட்லைன்']","['సేల్స్', 'హాట్లైన్ను']"
మాతో చేరండి మా ఆనందించండి అవకాశాలు,எங்களுக்கு சேர எங்கள் அனுபவிக்க வாய்ப்புகள்,"['எங்களுக்கு', 'சேர', 'எங்கள்', 'அனுபவிக்க', 'வாய்ப்புகள்']","['మాతో', 'చేరండి', 'మా', 'ఆనందించండి', 'అవకాశాలు']"
ధన్యవాదాలు మీరు ఏ ఆలోచనలు వచ్చింది ఉంటే నాకు తెలపండి,நீங்கள் எந்த யோசனையும் கிடைத்தால் எனக்குத் தெரியப்படுத்துங்கள்,"['நீங்கள்', 'எந்த', 'யோசனையும்', 'கிடைத்தால்', 'எனக்குத்', 'தெரியப்படுத்துங்கள்']","['ధన్యవాదాలు', 'మీరు', 'ఏ', 'ఆలోచనలు', 'వచ్చింది', 'ఉంటే', 'నాకు', 'తెలపండి']"
దయచేసి మరింత సమాచారం కోసం సంప్రదించండి,மேலும் தகவலுக்கு எங்களை தொடர்பு கொள்ளவும்,"['மேலும்', 'தகவலுக்கு', 'எங்களை', 'தொடர்பு', 'கொள்ளவும்']","['దయచేసి', 'మరింత', 'సమాచారం', 'కోసం', 'సంప్రదించండి']"
మీరు  తో మంచి డబ్బు చేయవచ్చు,நீங்கள்  உடன் நல்ல பணம் முடியுமா,"['நீங்கள்', 'உடன்', 'நல்ல', 'பணம்', 'முடியுமா']","['మీరు', 'తో', 'మంచి', 'డబ్బు', 'చేయవచ్చు']"
మొదటి పేరు చివరి పేరు,முதல் பெயர் கடைசி பெயர்,"['முதல்', 'பெயர்', 'கடைசி', 'பெயர்']","['మొదటి', 'పేరు', 'చివరి', 'పేరు']"
అందరూ మేము అన్ని ఉన్నాయి,எல்லோரும் நாங்கள் எல்லோரும்,"['எல்லோரும்', 'நாங்கள்', 'எல்லோரும்']","['అందరూ', 'మేము', 'అన్ని', 'ఉన్నాయి']"
©   టెక్నాలజీస్,©  ஊபர் டெக்னாலஜீஸ் இன்க்,"['©', 'ஊபர்', 'டெக்னாலஜீஸ்', 'இன்க்']","['©', 'టెక్నాలజీస్']"
ఇది అంత సులభమా,இது இவ்வளவு சுலபமா,"['இது', 'இவ்வளவு', 'சுலபமா']","['ఇది', 'అంత', 'సులభమా']"
కేవలం ఒక ఆలోచన,ஒரு சிந்தனை,"['ஒரு', 'சிந்தனை']","['కేవలం', 'ఒక', 'ఆలోచన']"
చిరునామాలు మరియు సంస్థలు గురించి సమీక్షలు,நிறுவனங்கள் பற்றி முகவரிகள் மற்றும் விமர்சனங்களை,"['நிறுவனங்கள்', 'பற்றி', 'முகவரிகள்', 'மற்றும்', 'விமர்சனங்களை']","['చిరునామాలు', 'మరియు', 'సంస్థలు', 'గురించి', 'సమీక్షలు']"
©  మమ్మల్ని సంప్రదించండి సైట్ మ్యాప్,©  எங்களை தொடர்பு கொள்ள தள வரைபடம்,"['©', 'எங்களை', 'தொடர்பு', 'கொள்ள', 'தள', 'வரைபடம்']","['©', 'మమ్మల్ని', 'సంప్రదించండి', 'సైట్', 'మ్యాప్']"
సహాయం కనుగొనండి,உதவியைக் கண்டுபிடி,"['உதவியைக்', 'கண்டுபிடி']","['సహాయం', 'కనుగొనండి']"
©  మమ్మల్ని సంప్రదించండి సైట్ మ్యాప్,©  எங்களை தொடர்பு கொள்ள தள வரைபடம்,"['©', 'எங்களை', 'தொடர்பு', 'கொள்ள', 'தள', 'வரைபடம்']","['©', 'మమ్మల్ని', 'సంప్రదించండి', 'సైట్', 'మ్యాప్']"
మరింత  కంపెనీలు మాతో ఉన్నారు,மேலும்  நிறுவனங்கள் எங்களுடன் ஏற்கனவே,"['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']","['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']"
నేను మీరు ఒక గొప్ప కలిగి ఆశిస్తున్నాము,நான் உங்களுக்கு ஒரு பெரிய வேண்டும் என்று நான் நம்புகிறேன்,"['நான்', 'உங்களுக்கு', 'ஒரு', 'பெரிய', 'வேண்டும்', 'என்று', 'நான்', 'நம்புகிறேன்']","['నేను', 'మీరు', 'ఒక', 'గొప్ప', 'కలిగి', 'ఆశిస్తున్నాము']"
సమస్యలు మీరు వచ్చారు ముందు మేము సమస్యలను పరిష్కరించటానికి,பிரச்சினைகள் நீங்கள் வருமுன் நாம் பிரச்சினைகளை தீர்க்க,"['பிரச்சினைகள்', 'நீங்கள்', 'வருமுன்', 'நாம்', 'பிரச்சினைகளை', 'தீர்க்க']","['సమస్యలు', 'మీరు', 'వచ్చారు', 'ముందు', 'మేము', 'సమస్యలను', 'పరిష్కరించటానికి']"
కానీ అది ప్రారంభం మాత్రమే,ஆனால் அது ஒரு ஆரம்பம் மட்டுமே,"['ஆனால்', 'அது', 'ஒரு', 'ஆரம்பம்', 'மட்டுமே']","['కానీ', 'అది', 'ప్రారంభం', 'మాత్రమే']"
మాత్రమే ఆమె ఆమె అవసరం అన్ని కలిగి ఉంటే,அவள் அந்த வேண்டும் என்று அனைத்து வந்துவிட்டுப்,"['அவள்', 'அந்த', 'வேண்டும்', 'என்று', 'அனைத்து', 'வந்துவிட்டுப்']","['మాత్రమే', 'ఆమె', 'ఆమె', 'అవసరం', 'అన్ని', 'కలిగి', 'ఉంటే']"
దుబాయ్ మేము వస్తున్నారా,துபாய் நாம் வருகிறார்கள்,"['துபாய்', 'நாம்', 'வருகிறார்கள்']","['దుబాయ్', 'మేము', 'వస్తున్నారా']"
మాకు మెయిల్ చేయండి,எங்களுக்கு மின்னஞ்சல் அனுப்ப,"['எங்களுக்கு', 'மின்னஞ்சல்', 'அனுப்ப']","['మాకు', 'మెయిల్', 'చేయండి']"
పఠనం కొనసాగించండి,தொடர்ந்து படிக்க,"['தொடர்ந்து', 'படிக்க']","['పఠనం', 'కొనసాగించండి']"
హలో మాట్ ఎలా మీరు నేడు,வணக்கம் மாட் இன்று எப்படி இருக்கிறீர்கள்,"['வணக்கம்', 'மாட்', 'இன்று', 'எப்படி', 'இருக்கிறீர்கள்']","['హలో', 'మాట్', 'ఎలా', 'మీరు', 'నేడు']"
మే,மே,['மே'],['మే']
అయితే సహాయం ధన్యవాదాలు,என்றாலும் உதவியதற்கு நன்றி,"['என்றாலும்', 'உதவியதற்கு', 'நன்றி']","['అయితే', 'సహాయం', 'ధన్యవాదాలు']"
అవును ఇది కూడా అలాంటిదే,ஆமாம் இரண்டும் ஒன்று தான்,"['ஆமாம்', 'இரண்டும்', 'ஒன்று', 'தான்']","['అవును', 'ఇది', 'కూడా', 'అలాంటిదే']"
బరువు,எடை,['எடை'],['బరువు']
అంటే ఏమిటి మరియు వారు ఏమి చేస్తారు,என்றால் என்ன அவர்கள் என்ன செய்கிறார்கள்,"['என்றால்', 'என்ன', 'அவர்கள்', 'என்ன', 'செய்கிறார்கள்']","['అంటే', 'ఏమిటి', 'మరియు', 'వారు', 'ఏమి', 'చేస్తారు']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
మానవులు ఏమి చేస్తారు,மனிதர்கள் என்ன செய்ய வேண்டாம்,"['மனிதர்கள்', 'என்ன', 'செய்ய', 'வேண்டாம்']","['మానవులు', 'ఏమి', 'చేస్తారు']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
పూర్తికాని,கூட்டுத்தொகை,['கூட்டுத்தொகை'],['పూర్తికాని']
ఎప్పుడైనా ఎక్కడైనా ఉపయోగించండి,எப்போது எங்கும் பயன்படுத்தவும்,"['எப்போது', 'எங்கும்', 'பயன்படுத்தவும்']","['ఎప్పుడైనా', 'ఎక్కడైనా', 'ఉపయోగించండి']"
వ్యాఖ్యలు పేజీ  యొక్క,கருத்துரைகள் பக்கம்  உள்ள   »,"['கருத்துரைகள்', 'பக்கம்', 'உள்ள', '»']","['వ్యాఖ్యలు', 'పేజీ', 'యొక్క']"
మా ఉత్పత్తులు రెండు విభాగాలు ఉన్నాయి,எங்கள் தயாரிப்புகள் இரண்டு பிரிவுகள் உள்ளன,"['எங்கள்', 'தயாரிப்புகள்', 'இரண்டு', 'பிரிவுகள்', 'உள்ளன']","['మా', 'ఉత్పత్తులు', 'రెండు', 'విభాగాలు', 'ఉన్నాయి']"
వరకు సేవ్,மேலான சேமிப்பு,"['மேலான', 'சேமிப்பு']","['వరకు', 'సేవ్']"
— చిరునామాలు మరియు సంస్థలు గురించి సమీక్షలు,— நிறுவனங்கள் பற்றி முகவரிகள் மற்றும் விமர்சனங்களை,"['—', 'நிறுவனங்கள்', 'பற்றி', 'முகவரிகள்', 'மற்றும்', 'விமர்சனங்களை']","['—', 'చిరునామాలు', 'మరియు', 'సంస్థలు', 'గురించి', 'సమీక్షలు']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
మళ్ళీ హలో,மீண்டும் வணக்கம்,"['மீண்டும்', 'வணக்கம்']","['మళ్ళీ', 'హలో']"
తర్వాత  పేజీ,அடுத்து  பக்கம்,"['அடுத்து', 'பக்கம்']","['తర్వాత', 'పేజీ']"
ప్లస్ బహుశా ఈ ఇయర్,பிளஸ் ஒருவேளை இந்த ஆண்டு,"['பிளஸ்', 'ஒருவேளை', 'இந்த', 'ஆண்டு']","['ప్లస్', 'బహుశా', 'ఈ', 'ఇయర్']"
నీకు ఏమి కావాలి,உனக்கு என்ன வேண்டும்,"['உனக்கு', 'என்ன', 'வேண்டும்']","['నీకు', 'ఏమి', 'కావాలి']"
స్నేహం విశ్వాసం ప్రేమ పొందడానికి మార్పిడి ద్వారా అన్ని,நட்பு நம்பிக்கை அன்பு பரிமாற்றம் மூலம் அனைத்து பெற,"['நட்பு', 'நம்பிக்கை', 'அன்பு', 'பரிமாற்றம்', 'மூலம்', 'அனைத்து', 'பெற']","['స్నేహం', 'విశ్వాసం', 'ప్రేమ', 'పొందడానికి', 'మార్పిడి', 'ద్వారా', 'అన్ని']"
తర్వాత  పేజీ,அடுத்து  பக்கம்,"['அடுத்து', 'பக்கம்']","['తర్వాత', 'పేజీ']"
ఇమెయిల్ మద్దతు,மின்னஞ்சல் ஆதரவு,"['மின்னஞ்சல்', 'ஆதரவு']","['ఇమెయిల్', 'మద్దతు']"
ఇప్పటికే సభ్యులా,ஏற்கனவே உறுப்பினரா,"['ஏற்கனவே', 'உறுப்பினரா']","['ఇప్పటికే', 'సభ్యులా']"
మీ జీవితంలోని ప్రతి క్షణం ఆనందించండి,உங்கள் வாழ்வின் ஒவ்வொரு நொடியும் அனுபவிக்க,"['உங்கள்', 'வாழ்வின்', 'ஒவ்வொரு', 'நொடியும்', 'அனுபவிக்க']","['మీ', 'జీవితంలోని', 'ప్రతి', 'క్షణం', 'ఆనందించండి']"
టెలిఫోన్,தொலைபேசி,['தொலைபேசி'],['టెలిఫోన్']
పోస్ట్ చేసిన తేదీ   ద్వారా అడ్మిన్,அன்று   மூலம் நிர்வாகம்,"['அன்று', 'மூலம்', 'நிர்வாகம்']","['పోస్ట్', 'చేసిన', 'తేదీ', 'ద్వారా', 'అడ్మిన్']"
ఛానల్,சேனல்,['சேனல்'],['ఛానల్']
సెప్టెంబర్,செப்டம்பர்,['செப்டம்பர்'],['సెప్టెంబర్']
ప్రశ్న మరింత సమాచారం కావాలా మాకు సందేశం పంపండి,கேள்வி மேலும் தகவல் தேவையா எங்களுக்கு செய்தி அனுப்பு,"['கேள்வி', 'மேலும்', 'தகவல்', 'தேவையா', 'எங்களுக்கு', 'செய்தி', 'அனுப்பு']","['ప్రశ్న', 'మరింత', 'సమాచారం', 'కావాలా', 'మాకు', 'సందేశం', 'పంపండి']"
పేజీ  యొక్క తదుపరి చివరి,பக்கம்  என்ற அடுத்த கடந்த,"['பக்கம்', 'என்ற', 'அடுத்த', 'கடந்த']","['పేజీ', 'యొక్క', 'తదుపరి', 'చివరి']"
ఈ పేజీలో చివరి  న నవీకరించబడింది,இப்பக்கம் கடைசியாக  அன்று புதுப்பிக்கப்பட்டது,"['இப்பக்கம்', 'கடைசியாக', 'அன்று', 'புதுப்பிக்கப்பட்டது']","['ఈ', 'పేజీలో', 'చివరి', 'న', 'నవీకరించబడింది']"
మరియు మీ కుటుంబ……,மற்றும் உங்கள் குடும்ப……,"['மற்றும்', 'உங்கள்', 'குடும்ப……']","['మరియు', 'మీ', 'కుటుంబ……']"
సులభంగా మీ కొనుగోలు సమస్యలు పరిష్కరించడానికి,எளிதாக உங்கள் வாங்கும் பிரச்சினைகளை தீர்க்க,"['எளிதாக', 'உங்கள்', 'வாங்கும்', 'பிரச்சினைகளை', 'தீர்க்க']","['సులభంగా', 'మీ', 'కొనుగోలు', 'సమస్యలు', 'పరిష్కరించడానికి']"
నాకు ఇతర ప్రశ్నలు ఉంటే,எனக்கு வேறு கேள்விகள் இருந்தால் என்ன,"['எனக்கு', 'வேறு', 'கேள்விகள்', 'இருந்தால்', 'என்ன']","['నాకు', 'ఇతర', 'ప్రశ్నలు', 'ఉంటే']"
ఆట యొక్క నియమాలు,விளையாட்டின் விதிகள்,"['விளையாட்டின்', 'விதிகள்']","['ఆట', 'యొక్క', 'నియమాలు']"
ప్రేక్షకులు,பார்வையாளர்கள்,['பார்வையாளர்கள்'],['ప్రేక్షకులు']
పేజీ  యొక్క,பக்கம்  என்ற,"['பக்கம்', 'என்ற']","['పేజీ', 'యొక్క']"
మీరు ఒక మానవ ఉంటాయి మరియు ఈ రంగంలో చూసిన ఉంటే దయచేసి ఖాళీగా వదిలివేయండి,நீங்கள் ஒரு மனித உள்ளன மற்றும் இந்த துறையில் காண்கிறீர்கள் என்றால் அது வெற்று விடுங்கள்,"['நீங்கள்', 'ஒரு', 'மனித', 'உள்ளன', 'மற்றும்', 'இந்த', 'துறையில்', 'காண்கிறீர்கள்', 'என்றால்', 'அது', 'வெற்று', 'விடுங்கள்']","['మీరు', 'ఒక', 'మానవ', 'ఉంటాయి', 'మరియు', 'ఈ', 'రంగంలో', 'చూసిన', 'ఉంటే', 'దయచేసి', 'ఖాళీగా', 'వదిలివేయండి']"
ఒక రహస్య వివరించారు,ஒரு இரகசிய விளக்கினார்,"['ஒரு', 'இரகசிய', 'விளக்கினார்']","['ఒక', 'రహస్య', 'వివరించారు']"
జూన్,ஜூன்,['ஜூன்'],['జూన్']
ఈ పేజీలో చివరి  న నవీకరించబడింది,இப்பக்கம் கடைசியாக  அன்று புதுப்பிக்கப்பட்டது,"['இப்பக்கம்', 'கடைசியாக', 'அன்று', 'புதுப்பிக்கப்பட்டது']","['ఈ', 'పేజీలో', 'చివరి', 'న', 'నవీకరించబడింది']"
ఫోన్లు,தொலைபேசிகள்,['தொலைபேசிகள்'],['ఫోన్లు']
మీరు ఏ దశలో ఉన్నారు,எந்த நிலையில் உள்ளீர்கள்,"['எந்த', 'நிலையில்', 'உள்ளீர்கள்']","['మీరు', 'ఏ', 'దశలో', 'ఉన్నారు']"
ఎవరు ఈ కోర్సు కోసం వెళ్ళాలి,இந்த போக்கிற்கு யார் போகவேண்டும்,"['இந்த', 'போக்கிற்கு', 'யார்', 'போகவேண்டும்']","['ఎవరు', 'ఈ', 'కోర్సు', 'కోసం', 'వెళ్ళాలి']"
మరియు ఆమె ఎల్లప్పుడూ నిశ్శబ్ద ఉంది,அவள் எப்போதும் அமைதியாக இருக்கிறது,"['அவள்', 'எப்போதும்', 'அமைதியாக', 'இருக்கிறது']","['మరియు', 'ఆమె', 'ఎల్లప్పుడూ', 'నిశ్శబ్ద', 'ఉంది']"
నా ఇంటిలో ఉపయోగించడానికి సురక్షితం,என் வீட்டில் பயன்படுத்த பாதுகாப்பானதா,"['என்', 'வீட்டில்', 'பயன்படுத்த', 'பாதுகாப்பானதா']","['నా', 'ఇంటిలో', 'ఉపయోగించడానికి', 'సురక్షితం']"
మీకు ఏవైనా ప్రశ్నలు ఉంటే దయచేసి మాకు తెలియజేయండి మేము మీకు  గంటల్లో ప్రత్యుత్తరం ఇస్తాము,உங்களிடம் ஏதேனும் கேள்விகள் இருந்தால் எங்களுக்குத் தெரியப்படுத்துங்கள் நாங்கள் உங்களுக்கு  மணி நேரத்திற்குள் பதிலளிப்போம்,"['உங்களிடம்', 'ஏதேனும்', 'கேள்விகள்', 'இருந்தால்', 'எங்களுக்குத்', 'தெரியப்படுத்துங்கள்', 'நாங்கள்', 'உங்களுக்கு', 'மணி', 'நேரத்திற்குள்', 'பதிலளிப்போம்']","['మీకు', 'ఏవైనా', 'ప్రశ్నలు', 'ఉంటే', 'దయచేసి', 'మాకు', 'తెలియజేయండి', 'మేము', 'మీకు', 'గంటల్లో', 'ప్రత్యుత్తరం', 'ఇస్తాము']"
ఒక బిచ్చగాడు వలయాలు,ஒரு பிச்சைக்காரன் மோதிரங்கள்,"['ஒரு', 'பிச்சைக்காரன்', 'மோதிரங்கள்']","['ఒక', 'బిచ్చగాడు', 'వలయాలు']"
ఇప్పుడు దీనిని ఊహించండి,இப்பொழுது இதை நீங்கள் கற்பனை செய்யுங்கள்,"['இப்பொழுது', 'இதை', 'நீங்கள்', 'கற்பனை', 'செய்யுங்கள்']","['ఇప్పుడు', 'దీనిని', 'ఊహించండి']"
పేజీ  యొక్క తదుపరి చివరి,பக்கம்  என்ற அடுத்த கடந்த,"['பக்கம்', 'என்ற', 'அடுத்த', 'கடந்த']","['పేజీ', 'యొక్క', 'తదుపరి', 'చివరి']"
కంటే ఎక్కువ సంవత్సరాల అనుభవం తో,வருடங்களுக்கும் மேலாக அனுபவம்,"['வருடங்களுக்கும்', 'மேலாக', 'அனுபவம்']","['కంటే', 'ఎక్కువ', 'సంవత్సరాల', 'అనుభవం', 'తో']"
టెల్,தொலைபேசி,['தொலைபேசி'],['టెల్']
ఇప్పుడు కాల్ చేయండి,இப்போது அழைக்கவும்,"['இப்போது', 'அழைக்கவும்']","['ఇప్పుడు', 'కాల్', 'చేయండి']"
ప్రజలు యేసు నేడు అవసరం నిజం బహిర్గతం అవుతుంది,மக்கள் உண்மை தெரிய வரும் இயேசு இன்று வேண்டும்,"['மக்கள்', 'உண்மை', 'தெரிய', 'வரும்', 'இயேசு', 'இன்று', 'வேண்டும்']","['ప్రజలు', 'యేసు', 'నేడు', 'అవసరం', 'నిజం', 'బహిర్గతం', 'అవుతుంది']"
మరింత  కంపెనీలు మాతో ఉన్నారు,மேலும்  நிறுவனங்கள் எங்களுடன் ஏற்கனவே,"['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']","['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']"
ప్రాంతాలు పారిశ్రామిక మొక్కలు లేకపోవడంతో పర్యావరణ శుభ్రత,நகரத்திற்கு அருகாமையில்,"['நகரத்திற்கு', 'அருகாமையில்']","['ప్రాంతాలు', 'పారిశ్రామిక', 'మొక్కలు', 'లేకపోవడంతో', 'పర్యావరణ', 'శుభ్రత']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
ప్రశ్న,கேள்வி,['கேள்வி'],['ప్రశ్న']
మా ఉత్పత్తులు లేదా  గురించి విచారణ కోసం మాకు మీ ఇమెయిల్ వదిలి మరియు మేము  గంటల్లో టచ్ ఉంటుంది,எங்கள் தயாரிப்புகள் அல்லது  பற்றி விசாரணைக்காக எங்களுக்கு உங்கள் மின்னஞ்சல் முகவரியையும் கொடுத்துவிட்டுச் நாங்கள்  மணி நேரத்திற்குள் தொடர்பு இருப்பேன்,"['எங்கள்', 'தயாரிப்புகள்', 'அல்லது', 'பற்றி', 'விசாரணைக்காக', 'எங்களுக்கு', 'உங்கள்', 'மின்னஞ்சல்', 'முகவரியையும்', 'கொடுத்துவிட்டுச்', 'நாங்கள்', 'மணி', 'நேரத்திற்குள்', 'தொடர்பு', 'இருப்பேன்']","['మా', 'ఉత్పత్తులు', 'లేదా', 'గురించి', 'విచారణ', 'కోసం', 'మాకు', 'మీ', 'ఇమెయిల్', 'వదిలి', 'మరియు', 'మేము', 'గంటల్లో', 'టచ్', 'ఉంటుంది']"
ప్రతి  నిమిషాలు ప్రతి  నిమిషాలు ప్రతి గంట,ஒவ்வொரு  நிமிடங்களிலும் ஒவ்வொரு  நிமிடங்களிலும் ஒவ்வொரு மணி நேரமும்,"['ஒவ்வொரு', 'நிமிடங்களிலும்', 'ஒவ்வொரு', 'நிமிடங்களிலும்', 'ஒவ்வொரு', 'மணி', 'நேரமும்']","['ప్రతి', 'నిమిషాలు', 'ప్రతి', 'నిమిషాలు', 'ప్రతి', 'గంట']"
హోమ్ »  కొత్త గేమ్స్,முகப்பு »  புதிய கேம்ஸ்,"['முகப்பு', '»', 'புதிய', 'கேம்ஸ்']","['హోమ్', '»', 'కొత్త', 'గేమ్స్']"
ఈ పేజీలో చివరి  న నవీకరించబడింది,இப்பக்கம் கடைசியாக  அன்று புதுப்பிக்கப்பட்டது,"['இப்பக்கம்', 'கடைசியாக', 'அன்று', 'புதுப்பிக்கப்பட்டது']","['ఈ', 'పేజీలో', 'చివరి', 'న', 'నవీకరించబడింది']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
ఇప్పటికే సభ్యులా,ஏற்கனவே உறுப்பினரா,"['ஏற்கனவே', 'உறுப்பினரா']","['ఇప్పటికే', 'సభ్యులా']"
టెల్,டெல்,['டெல்'],['టెల్']
అన్నీ చూపించు ఆటో ఆహార వినోదం కొనుగోలు అందం ఆరోగ్యం జంతువులు ఇతర,அனைத்து காட்ட ஆட்டோ உணவு பொழுதுபோக்கு கொள்முதல் அழகு சுகாதாரம் விலங்குகள் மற்ற,"['அனைத்து', 'காட்ட', 'ஆட்டோ', 'உணவு', 'பொழுதுபோக்கு', 'கொள்முதல்', 'அழகு', 'சுகாதாரம்', 'விலங்குகள்', 'மற்ற']","['అన్నీ', 'చూపించు', 'ఆటో', 'ఆహార', 'వినోదం', 'కొనుగోలు', 'అందం', 'ఆరోగ్యం', 'జంతువులు', 'ఇతర']"
మీ దుస్తులు నన్ను ఏదో నేర్పించాలని కోరుకుంటున్నాను,உங்கள் ஆடை எனக்கு ஏதாவது கற்பிக்க விரும்புகிறது,"['உங்கள்', 'ஆடை', 'எனக்கு', 'ஏதாவது', 'கற்பிக்க', 'விரும்புகிறது']","['మీ', 'దుస్తులు', 'నన్ను', 'ఏదో', 'నేర్పించాలని', 'కోరుకుంటున్నాను']"
ద్వారా  థీమ్,மூலம் வேர்ட்பிரஸ் தீம்,"['மூலம்', 'வேர்ட்பிரஸ்', 'தீம்']","['ద్వారా', 'థీమ్']"
డిసెంబర్,டிசெம்பர்,['டிசெம்பர்'],['డిసెంబర్']
అన్ని చాలా సులభమైన పరిష్కారం,டேரியஸ்ஸஸ் அவ்வளவு எளிதான பிழைத்திருத்தம்,"['டேரியஸ்ஸஸ்', 'அவ்வளவு', 'எளிதான', 'பிழைத்திருத்தம்']","['అన్ని', 'చాలా', 'సులభమైన', 'పరిష్కారం']"
ఏవైనా ప్రశ్నలు వున్నాయ,ஏதாவது கேள்விகள்,"['ஏதாவது', 'கேள்விகள்']","['ఏవైనా', 'ప్రశ్నలు', 'వున్నాయ']"
లేదా,இயல்பான,['இயல்பான'],['లేదా']
అడ్మిషన్,சேர்க்கை,['சேர்க்கை'],['అడ్మిషన్']
దీని అర్థం ఏమిటి,இதற்கு என்ன அர்த்தம்,"['இதற்கு', 'என்ன', 'அர்த்தம்']","['దీని', 'అర్థం', 'ఏమిటి']"
నుండి,இருந்து,['இருந்து'],['నుండి']
దయచేసి ఇక్కడ వీడియో ఆనందించండి,தயவு செய்து இங்கே வீடியோவை அனுபவிக்கவும்,"['தயவு', 'செய்து', 'இங்கே', 'வீடியோவை', 'அனுபவிக்கவும்']","['దయచేసి', 'ఇక్కడ', 'వీడియో', 'ఆనందించండి']"
ఇప్పుడు మాకు కాల్,இப்போது எங்களுக்கு அழைப்பு,"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']"
ప్రజలు మరియు విశ్వాసం,மக்கள் மற்றும் நம்பிக்கை,"['மக்கள்', 'மற்றும்', 'நம்பிக்கை']","['ప్రజలు', 'మరియు', 'విశ్వాసం']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
కాల్ మద్దతు,கால் ஆதரவு,"['கால்', 'ஆதரவு']","['కాల్', 'మద్దతు']"
ఈ పేజీలో చివరి  న నవీకరించబడింది,இப்பக்கம் கடைசியாக  அன்று புதுப்பிக்கப்பட்டது,"['இப்பக்கம்', 'கடைசியாக', 'அன்று', 'புதுப்பிக்கப்பட்டது']","['ఈ', 'పేజీలో', 'చివరి', 'న', 'నవీకరించబడింది']"
కథ  దయచేసి  కన్నా ఎక్కువ పదాలను రాయండి,கதை  தயவுசெய்து  க்கும் மேற்பட்ட சொற்களை எழுதவும்,"['கதை', 'தயவுசெய்து', 'க்கும்', 'மேற்பட்ட', 'சொற்களை', 'எழுதவும்']","['కథ', 'దయచేసి', 'కన్నా', 'ఎక్కువ', 'పదాలను', 'రాయండి']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
ఇంకా చదవండి,மேலும் படிக்க,"['மேலும்', 'படிக்க']","['ఇంకా', 'చదవండి']"
పర్యావరణ పరిరక్షణకు,சுற்றுச்சூழலைப் பாதுகாக்க,"['சுற்றுச்சூழலைப்', 'பாதுகாக்க']","['పర్యావరణ', 'పరిరక్షణకు']"
గంటల్లో ప్రత్యుత్తరం,மணி பதிலளியுங்கள்,"['மணி', 'பதிலளியுங்கள்']","['గంటల్లో', 'ప్రత్యుత్తరం']"
మీరు మా ఉత్పత్తులు ఆసక్తి ఉంటే,நீங்கள் எங்கள் தயாரிப்புகள் ஆர்வமாக இருந்தால்,"['நீங்கள்', 'எங்கள்', 'தயாரிப்புகள்', 'ஆர்வமாக', 'இருந்தால்']","['మీరు', 'మా', 'ఉత్పత్తులు', 'ఆసక్తి', 'ఉంటే']"
