Tamil Tokens,Telugu Tokens,Tamil Bigrams,Telugu Bigrams,Telugu POS Tags,Telugu NER,Tamil Token Frequency,Telugu Token Frequency,Cosine Similarity
['மே'],['మే'],{},{},"[('మే', 'OTHER')]","[('మే', 'O')]",{'மே': 1},{'మే': 1},0.0
"['இந்த', 'கட்டுரையை', 'மதிப்பிடுக']","['ఈ', 'కథనాన్ని', 'రేట్', 'చేయండి']","{('இந்த', 'கட்டுரையை'): 0.5, ('கட்டுரையை', 'மதிப்பிடுக'): 0.5}","{('ఈ', 'కథనాన్ని'): 0.3333333333333333, ('కథనాన్ని', 'రేట్'): 0.3333333333333333, ('రేట్', 'చేయండి'): 0.3333333333333333}","[('ఈ', 'OTHER'), ('కథనాన్ని', 'OTHER'), ('రేట్', 'OTHER'), ('చేయండి', 'OTHER')]","[('ఈ', 'O'), ('కథనాన్ని', 'O'), ('రేట్', 'O'), ('చేయండి', 'O')]","{'இந்த': 1, 'கட்டுரையை': 1, 'மதிப்பிடுக': 1}","{'ఈ': 1, 'కథనాన్ని': 1, 'రేట్': 1, 'చేయండి': 1}",0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
"['இப்பக்கம்', 'கடைசியாக', 'அன்று', 'புதுப்பிக்கப்பட்டது']","['ఈ', 'పేజీలో', 'చివరి', 'న', 'నవీకరించబడింది']","{('இப்பக்கம்', 'கடைசியாக'): 0.3333333333333333, ('கடைசியாக', 'அன்று'): 0.3333333333333333, ('அன்று', 'புதுப்பிக்கப்பட்டது'): 0.3333333333333333}","{('ఈ', 'పేజీలో'): 0.25, ('పేజీలో', 'చివరి'): 0.25, ('చివరి', 'న'): 0.25, ('న', 'నవీకరించబడింది'): 0.25}","[('ఈ', 'OTHER'), ('పేజీలో', 'OTHER'), ('చివరి', 'OTHER'), ('న', 'OTHER'), ('నవీకరించబడింది', 'OTHER')]","[('ఈ', 'O'), ('పేజీలో', 'O'), ('చివరి', 'O'), ('న', 'O'), ('నవీకరించబడింది', 'O')]","{'இப்பக்கம்': 1, 'கடைசியாக': 1, 'அன்று': 1, 'புதுப்பிக்கப்பட்டது': 1}","{'ఈ': 1, 'పేజీలో': 1, 'చివరి': 1, 'న': 1, 'నవీకరించబడింది': 1}",0.0
"['இப்போது', 'நான்', 'மட்டுமே', 'இந்த', 'குறுகிய', 'குறிப்பு', 'எழுத']","['ఇప్పుడు', 'కోసం', 'నేను', 'మాత్రమే', 'ఈ', 'చిన్న', 'నోట్', 'వ్రాయడానికి']","{('இப்போது', 'நான்'): 0.16666666666666666, ('நான்', 'மட்டுமே'): 0.16666666666666666, ('மட்டுமே', 'இந்த'): 0.16666666666666666, ('இந்த', 'குறுகிய'): 0.16666666666666666, ('குறுகிய', 'குறிப்பு'): 0.16666666666666666, ('குறிப்பு', 'எழுத'): 0.16666666666666666}","{('ఇప్పుడు', 'కోసం'): 0.14285714285714285, ('కోసం', 'నేను'): 0.14285714285714285, ('నేను', 'మాత్రమే'): 0.14285714285714285, ('మాత్రమే', 'ఈ'): 0.14285714285714285, ('ఈ', 'చిన్న'): 0.14285714285714285, ('చిన్న', 'నోట్'): 0.14285714285714285, ('నోట్', 'వ్రాయడానికి'): 0.14285714285714285}","[('ఇప్పుడు', 'OTHER'), ('కోసం', 'OTHER'), ('నేను', 'OTHER'), ('మాత్రమే', 'OTHER'), ('ఈ', 'OTHER'), ('చిన్న', 'OTHER'), ('నోట్', 'OTHER'), ('వ్రాయడానికి', 'OTHER')]","[('ఇప్పుడు', 'O'), ('కోసం', 'O'), ('నేను', 'O'), ('మాత్రమే', 'O'), ('ఈ', 'O'), ('చిన్న', 'O'), ('నోట్', 'O'), ('వ్రాయడానికి', 'O')]","{'இப்போது': 1, 'நான்': 1, 'மட்டுமே': 1, 'இந்த': 1, 'குறுகிய': 1, 'குறிப்பு': 1, 'எழுத': 1}","{'ఇప్పుడు': 1, 'కోసం': 1, 'నేను': 1, 'మాత్రమే': 1, 'ఈ': 1, 'చిన్న': 1, 'నోట్': 1, 'వ్రాయడానికి': 1}",0.0
"['வழக்கமாக', 'நாட்கள்']","['సాధారణంగా', 'రోజులలో']","{('வழக்கமாக', 'நாட்கள்'): 1.0}","{('సాధారణంగా', 'రోజులలో'): 1.0}","[('సాధారణంగా', 'OTHER'), ('రోజులలో', 'OTHER')]","[('సాధారణంగా', 'O'), ('రోజులలో', 'O')]","{'வழக்கமாக': 1, 'நாட்கள்': 1}","{'సాధారణంగా': 1, 'రోజులలో': 1}",0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
"['மிஸ்லாடோட்', 'பிசிக்கள்', 'கர்ல்', 'ஃப்ளாட்', 'கண்ணிஷ்', 'நீட்டிப்பு']","['మిస్లాండోడ్', 'లు', 'కర్ల్', 'ఫ్లాట్', 'వెంట్రుష్', 'ఎక్స్టెన్షన్']","{('மிஸ்லாடோட்', 'பிசிக்கள்'): 0.2, ('பிசிக்கள்', 'கர்ல்'): 0.2, ('கர்ல்', 'ஃப்ளாட்'): 0.2, ('ஃப்ளாட்', 'கண்ணிஷ்'): 0.2, ('கண்ணிஷ்', 'நீட்டிப்பு'): 0.2}","{('మిస్లాండోడ్', 'లు'): 0.2, ('లు', 'కర్ల్'): 0.2, ('కర్ల్', 'ఫ్లాట్'): 0.2, ('ఫ్లాట్', 'వెంట్రుష్'): 0.2, ('వెంట్రుష్', 'ఎక్స్టెన్షన్'): 0.2}","[('మిస్లాండోడ్', 'OTHER'), ('లు', 'OTHER'), ('కర్ల్', 'OTHER'), ('ఫ్లాట్', 'OTHER'), ('వెంట్రుష్', 'OTHER'), ('ఎక్స్టెన్షన్', 'OTHER')]","[('మిస్లాండోడ్', 'O'), ('లు', 'O'), ('కర్ల్', 'O'), ('ఫ్లాట్', 'O'), ('వెంట్రుష్', 'O'), ('ఎక్స్టెన్షన్', 'O')]","{'மிஸ்லாடோட்': 1, 'பிசிக்கள்': 1, 'கர்ல்': 1, 'ஃப்ளாட்': 1, 'கண்ணிஷ்': 1, 'நீட்டிப்பு': 1}","{'మిస్లాండోడ్': 1, 'లు': 1, 'కర్ల్': 1, 'ఫ్లాట్': 1, 'వెంట్రుష్': 1, 'ఎక్స్టెన్షన్': 1}",0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
['தொலைபேசி'],['టెల్'],{},{},"[('టెల్', 'OTHER')]","[('టెల్', 'O')]",{'தொலைபேசி': 1},{'టెల్': 1},0.0
"['மேலும்', 'படங்கள்', 'இங்கே', 'கிளிக்', 'செய்யவும்']","['మరిన్ని', 'చిత్రాలు', 'ఇక్కడ', 'క్లిక్', 'చేయండి']","{('மேலும்', 'படங்கள்'): 0.25, ('படங்கள்', 'இங்கே'): 0.25, ('இங்கே', 'கிளிக்'): 0.25, ('கிளிக்', 'செய்யவும்'): 0.25}","{('మరిన్ని', 'చిత్రాలు'): 0.25, ('చిత్రాలు', 'ఇక్కడ'): 0.25, ('ఇక్కడ', 'క్లిక్'): 0.25, ('క్లిక్', 'చేయండి'): 0.25}","[('మరిన్ని', 'OTHER'), ('చిత్రాలు', 'OTHER'), ('ఇక్కడ', 'OTHER'), ('క్లిక్', 'OTHER'), ('చేయండి', 'OTHER')]","[('మరిన్ని', 'O'), ('చిత్రాలు', 'O'), ('ఇక్కడ', 'O'), ('క్లిక్', 'O'), ('చేయండి', 'O')]","{'மேலும்': 1, 'படங்கள்': 1, 'இங்கே': 1, 'கிளிக்': 1, 'செய்யவும்': 1}","{'మరిన్ని': 1, 'చిత్రాలు': 1, 'ఇక్కడ': 1, 'క్లిక్': 1, 'చేయండి': 1}",0.0
"['முதலில்', 'கருத்து', 'தெரிவிப்பவர்', 'நீங்கள்', 'என்ன', 'நினைக்கிறீர்கள்']","['మీరే', 'మొదటి', 'వ్యాఖ్య', 'రాయండి', 'మీరు', 'ఏమి', 'ఆలోచిస్తాడు']","{('முதலில்', 'கருத்து'): 0.2, ('கருத்து', 'தெரிவிப்பவர்'): 0.2, ('தெரிவிப்பவர்', 'நீங்கள்'): 0.2, ('நீங்கள்', 'என்ன'): 0.2, ('என்ன', 'நினைக்கிறீர்கள்'): 0.2}","{('మీరే', 'మొదటి'): 0.16666666666666666, ('మొదటి', 'వ్యాఖ్య'): 0.16666666666666666, ('వ్యాఖ్య', 'రాయండి'): 0.16666666666666666, ('రాయండి', 'మీరు'): 0.16666666666666666, ('మీరు', 'ఏమి'): 0.16666666666666666, ('ఏమి', 'ఆలోచిస్తాడు'): 0.16666666666666666}","[('మీరే', 'OTHER'), ('మొదటి', 'OTHER'), ('వ్యాఖ్య', 'OTHER'), ('రాయండి', 'OTHER'), ('మీరు', 'OTHER'), ('ఏమి', 'OTHER'), ('ఆలోచిస్తాడు', 'OTHER')]","[('మీరే', 'O'), ('మొదటి', 'O'), ('వ్యాఖ్య', 'O'), ('రాయండి', 'O'), ('మీరు', 'O'), ('ఏమి', 'O'), ('ఆలోచిస్తాడు', 'O')]","{'முதலில்': 1, 'கருத்து': 1, 'தெரிவிப்பவர்': 1, 'நீங்கள்': 1, 'என்ன': 1, 'நினைக்கிறீர்கள்': 1}","{'మీరే': 1, 'మొదటి': 1, 'వ్యాఖ్య': 1, 'రాయండి': 1, 'మీరు': 1, 'ఏమి': 1, 'ఆలోచిస్తాడు': 1}",0.0
"['பார்', 'நான்', 'அவர்', 'உங்களுக்கு', 'சொன்னேன்']","['చూడండి', 'నేను', 'అతను', 'లేదు', 'మీరు', 'చెప్పారు']","{('பார்', 'நான்'): 0.25, ('நான்', 'அவர்'): 0.25, ('அவர்', 'உங்களுக்கு'): 0.25, ('உங்களுக்கு', 'சொன்னேன்'): 0.25}","{('చూడండి', 'నేను'): 0.2, ('నేను', 'అతను'): 0.2, ('అతను', 'లేదు'): 0.2, ('లేదు', 'మీరు'): 0.2, ('మీరు', 'చెప్పారు'): 0.2}","[('చూడండి', 'OTHER'), ('నేను', 'OTHER'), ('అతను', 'OTHER'), ('లేదు', 'OTHER'), ('మీరు', 'OTHER'), ('చెప్పారు', 'OTHER')]","[('చూడండి', 'O'), ('నేను', 'O'), ('అతను', 'O'), ('లేదు', 'O'), ('మీరు', 'O'), ('చెప్పారు', 'O')]","{'பார்': 1, 'நான்': 1, 'அவர்': 1, 'உங்களுக்கு': 1, 'சொன்னேன்': 1}","{'చూడండి': 1, 'నేను': 1, 'అతను': 1, 'లేదు': 1, 'మీరు': 1, 'చెప్పారు': 1}",0.0
"['©', 'எங்களை', 'தொடர்பு', 'கொள்ள', 'தள', 'வரைபடம்']","['©', 'మమ్మల్ని', 'సంప్రదించండి', 'సైట్', 'మ్యాప్']","{('©', 'எங்களை'): 0.2, ('எங்களை', 'தொடர்பு'): 0.2, ('தொடர்பு', 'கொள்ள'): 0.2, ('கொள்ள', 'தள'): 0.2, ('தள', 'வரைபடம்'): 0.2}","{('©', 'మమ్మల్ని'): 0.25, ('మమ్మల్ని', 'సంప్రదించండి'): 0.25, ('సంప్రదించండి', 'సైట్'): 0.25, ('సైట్', 'మ్యాప్'): 0.25}","[('©', 'OTHER'), ('మమ్మల్ని', 'OTHER'), ('సంప్రదించండి', 'OTHER'), ('సైట్', 'OTHER'), ('మ్యాప్', 'OTHER')]","[('©', 'O'), ('మమ్మల్ని', 'O'), ('సంప్రదించండి', 'O'), ('సైట్', 'O'), ('మ్యాప్', 'O')]","{'©': 1, 'எங்களை': 1, 'தொடர்பு': 1, 'கொள்ள': 1, 'தள': 1, 'வரைபடம்': 1}","{'©': 1, 'మమ్మల్ని': 1, 'సంప్రదించండి': 1, 'సైట్': 1, 'మ్యాప్': 1}",0.18257418583505536
"['ஒரு', 'முழு', 'நிறைய']","['మరియు', 'మొత్తం', 'చాలా']","{('ஒரு', 'முழு'): 0.5, ('முழு', 'நிறைய'): 0.5}","{('మరియు', 'మొత్తం'): 0.5, ('మొత్తం', 'చాలా'): 0.5}","[('మరియు', 'OTHER'), ('మొత్తం', 'OTHER'), ('చాలా', 'OTHER')]","[('మరియు', 'O'), ('మొత్తం', 'O'), ('చాలా', 'O')]","{'ஒரு': 1, 'முழு': 1, 'நிறைய': 1}","{'మరియు': 1, 'మొత్తం': 1, 'చాలా': 1}",0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
"['நீங்கள்', 'பிரச்சனையில்', 'போல']","['మీరు', 'ఇబ్బంది', 'లాగా']","{('நீங்கள்', 'பிரச்சனையில்'): 0.5, ('பிரச்சனையில்', 'போல'): 0.5}","{('మీరు', 'ఇబ్బంది'): 0.5, ('ఇబ్బంది', 'లాగా'): 0.5}","[('మీరు', 'OTHER'), ('ఇబ్బంది', 'OTHER'), ('లాగా', 'OTHER')]","[('మీరు', 'O'), ('ఇబ్బంది', 'O'), ('లాగా', 'O')]","{'நீங்கள்': 1, 'பிரச்சனையில்': 1, 'போல': 1}","{'మీరు': 1, 'ఇబ్బంది': 1, 'లాగా': 1}",0.0
['ஏன்'],['ఎందుకు'],{},{},"[('ఎందుకు', 'OTHER')]","[('ఎందుకు', 'O')]",{'ஏன்': 1},{'ఎందుకు': 1},0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
"['முதலில்', 'நீங்கள்', 'ஏதாவது', 'சொல்ல', 'வேண்டும்']","['మొదట', 'మీరు', 'నాకు', 'కొన్ని', 'విషయాలు', 'చెప్పడానికి', 'కలిగి']","{('முதலில்', 'நீங்கள்'): 0.25, ('நீங்கள்', 'ஏதாவது'): 0.25, ('ஏதாவது', 'சொல்ல'): 0.25, ('சொல்ல', 'வேண்டும்'): 0.25}","{('మొదట', 'మీరు'): 0.16666666666666666, ('మీరు', 'నాకు'): 0.16666666666666666, ('నాకు', 'కొన్ని'): 0.16666666666666666, ('కొన్ని', 'విషయాలు'): 0.16666666666666666, ('విషయాలు', 'చెప్పడానికి'): 0.16666666666666666, ('చెప్పడానికి', 'కలిగి'): 0.16666666666666666}","[('మొదట', 'OTHER'), ('మీరు', 'OTHER'), ('నాకు', 'OTHER'), ('కొన్ని', 'OTHER'), ('విషయాలు', 'OTHER'), ('చెప్పడానికి', 'OTHER'), ('కలిగి', 'OTHER')]","[('మొదట', 'O'), ('మీరు', 'O'), ('నాకు', 'O'), ('కొన్ని', 'O'), ('విషయాలు', 'O'), ('చెప్పడానికి', 'O'), ('కలిగి', 'O')]","{'முதலில்': 1, 'நீங்கள்': 1, 'ஏதாவது': 1, 'சொல்ல': 1, 'வேண்டும்': 1}","{'మొదట': 1, 'మీరు': 1, 'నాకు': 1, 'కొన్ని': 1, 'విషయాలు': 1, 'చెప్పడానికి': 1, 'కలిగి': 1}",0.0
"['எங்கள்', 'கட்டணங்கள்', 'தெரியுமா']","['మీరు', 'మా', 'ఫీజు', 'తెలుసుకోవాలనుకుంటున్నారా']","{('எங்கள்', 'கட்டணங்கள்'): 0.5, ('கட்டணங்கள்', 'தெரியுமா'): 0.5}","{('మీరు', 'మా'): 0.3333333333333333, ('మా', 'ఫీజు'): 0.3333333333333333, ('ఫీజు', 'తెలుసుకోవాలనుకుంటున్నారా'): 0.3333333333333333}","[('మీరు', 'OTHER'), ('మా', 'OTHER'), ('ఫీజు', 'OTHER'), ('తెలుసుకోవాలనుకుంటున్నారా', 'OTHER')]","[('మీరు', 'O'), ('మా', 'O'), ('ఫీజు', 'O'), ('తెలుసుకోవాలనుకుంటున్నారా', 'O')]","{'எங்கள்': 1, 'கட்டணங்கள்': 1, 'தெரியுமா': 1}","{'మీరు': 1, 'మా': 1, 'ఫీజు': 1, 'తెలుసుకోవాలనుకుంటున్నారా': 1}",0.0
"['எங்களை', 'அழைக்கவும்']","['మా', 'కాల్']","{('எங்களை', 'அழைக்கவும்'): 1.0}","{('మా', 'కాల్'): 1.0}","[('మా', 'OTHER'), ('కాల్', 'OTHER')]","[('మా', 'O'), ('కాల్', 'O')]","{'எங்களை': 1, 'அழைக்கவும்': 1}","{'మా': 1, 'కాల్': 1}",0.0
"['நன்றி', 'விமர்சனம்']",['ధన్యవాదాలు'],"{('நன்றி', 'விமர்சனம்'): 1.0}",{},"[('ధన్యవాదాలు', 'OTHER')]","[('ధన్యవాదాలు', 'O')]","{'நன்றி': 1, 'விமர்சனம்': 1}",{'ధన్యవాదాలు': 1},0.0
"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']","{('இப்போது', 'எங்களுக்கு'): 0.5, ('எங்களுக்கு', 'அழைப்பு'): 0.5}","{('ఇప్పుడు', 'మాకు'): 0.5, ('మాకు', 'కాల్'): 0.5}","[('ఇప్పుడు', 'OTHER'), ('మాకు', 'OTHER'), ('కాల్', 'OTHER')]","[('ఇప్పుడు', 'O'), ('మాకు', 'O'), ('కాల్', 'O')]","{'இப்போது': 1, 'எங்களுக்கு': 1, 'அழைப்பு': 1}","{'ఇప్పుడు': 1, 'మాకు': 1, 'కాల్': 1}",0.0
"['மொழியை', 'மாற்றுக']","['భాషను', 'మార్చండి']","{('மொழியை', 'மாற்றுக'): 1.0}","{('భాషను', 'మార్చండి'): 1.0}","[('భాషను', 'OTHER'), ('మార్చండి', 'OTHER')]","[('భాషను', 'O'), ('మార్చండి', 'O')]","{'மொழியை': 1, 'மாற்றுக': 1}","{'భాషను': 1, 'మార్చండి': 1}",0.0
"['பக்கம்', 'என்ற', '»']","['పేజీ', 'యొక్క', '»']","{('பக்கம்', 'என்ற'): 0.5, ('என்ற', '»'): 0.5}","{('పేజీ', 'యొక్క'): 0.5, ('యొక్క', '»'): 0.5}","[('పేజీ', 'OTHER'), ('యొక్క', 'OTHER'), ('»', 'OTHER')]","[('పేజీ', 'O'), ('యొక్క', 'O'), ('»', 'O')]","{'பக்கம்': 1, 'என்ற': 1, '»': 1}","{'పేజీ': 1, 'యొక్క': 1, '»': 1}",0.33333333333333337
"['நான்', 'அல்லது', 'ஏதாவது', 'பயப்படுவது', 'இல்லை']","['నేను', 'గాని', 'ఏదైనా', 'యొక్క', 'భయపడ్డారు', 'లేదు']","{('நான்', 'அல்லது'): 0.25, ('அல்லது', 'ஏதாவது'): 0.25, ('ஏதாவது', 'பயப்படுவது'): 0.25, ('பயப்படுவது', 'இல்லை'): 0.25}","{('నేను', 'గాని'): 0.2, ('గాని', 'ఏదైనా'): 0.2, ('ఏదైనా', 'యొక్క'): 0.2, ('యొక్క', 'భయపడ్డారు'): 0.2, ('భయపడ్డారు', 'లేదు'): 0.2}","[('నేను', 'OTHER'), ('గాని', 'OTHER'), ('ఏదైనా', 'OTHER'), ('యొక్క', 'OTHER'), ('భయపడ్డారు', 'OTHER'), ('లేదు', 'OTHER')]","[('నేను', 'O'), ('గాని', 'O'), ('ఏదైనా', 'O'), ('యొక్క', 'O'), ('భయపడ్డారు', 'O'), ('లేదు', 'O')]","{'நான்': 1, 'அல்லது': 1, 'ஏதாவது': 1, 'பயப்படுவது': 1, 'இல்லை': 1}","{'నేను': 1, 'గాని': 1, 'ఏదైనా': 1, 'యొక్క': 1, 'భయపడ్డారు': 1, 'లేదు': 1}",0.0
"['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']","['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","{('மேலும்', 'நிறுவனங்கள்'): 0.3333333333333333, ('நிறுவனங்கள்', 'எங்களுடன்'): 0.3333333333333333, ('எங்களுடன்', 'ஏற்கனவே'): 0.3333333333333333}","{('మరింత', 'కంపెనీలు'): 0.3333333333333333, ('కంపెనీలు', 'మాతో'): 0.3333333333333333, ('మాతో', 'ఉన్నారు'): 0.3333333333333333}","[('మరింత', 'OTHER'), ('కంపెనీలు', 'OTHER'), ('మాతో', 'OTHER'), ('ఉన్నారు', 'OTHER')]","[('మరింత', 'O'), ('కంపెనీలు', 'O'), ('మాతో', 'O'), ('ఉన్నారు', 'O')]","{'மேலும்': 1, 'நிறுவனங்கள்': 1, 'எங்களுடன்': 1, 'ஏற்கனவே': 1}","{'మరింత': 1, 'కంపెనీలు': 1, 'మాతో': 1, 'ఉన్నారు': 1}",0.0
['தமிழ்'],['హోమ్'],{},{},"[('హోమ్', 'OTHER')]","[('హోమ్', 'O')]",{'தமிழ்': 1},{'హోమ్': 1},0.0
"['மற்றும்', 'மிகவும்', 'மிகவும்']","['మరియు', 'ఎక్కువ', 'చాలా']","{('மற்றும்', 'மிகவும்'): 0.5, ('மிகவும்', 'மிகவும்'): 0.5}","{('మరియు', 'ఎక్కువ'): 0.5, ('ఎక్కువ', 'చాలా'): 0.5}","[('మరియు', 'OTHER'), ('ఎక్కువ', 'OTHER'), ('చాలా', 'OTHER')]","[('మరియు', 'O'), ('ఎక్కువ', 'O'), ('చాలా', 'O')]","{'மற்றும்': 1, 'மிகவும்': 2}","{'మరియు': 1, 'ఎక్కువ': 1, 'చాలా': 1}",0.0
"['நன்று', 'நான்', 'அதை', 'விரும்புகிறேன்']","['అభినందనలు', 'నేను', 'అది', 'ప్రేమ']","{('நன்று', 'நான்'): 0.3333333333333333, ('நான்', 'அதை'): 0.3333333333333333, ('அதை', 'விரும்புகிறேன்'): 0.3333333333333333}","{('అభినందనలు', 'నేను'): 0.3333333333333333, ('నేను', 'అది'): 0.3333333333333333, ('అది', 'ప్రేమ'): 0.3333333333333333}","[('అభినందనలు', 'OTHER'), ('నేను', 'OTHER'), ('అది', 'OTHER'), ('ప్రేమ', 'OTHER')]","[('అభినందనలు', 'O'), ('నేను', 'O'), ('అది', 'O'), ('ప్రేమ', 'O')]","{'நன்று': 1, 'நான்': 1, 'அதை': 1, 'விரும்புகிறேன்': 1}","{'అభినందనలు': 1, 'నేను': 1, 'అది': 1, 'ప్రేమ': 1}",0.0
"['கால்', 'ஆதரவு']","['కాల్', 'మద్దతు']","{('கால்', 'ஆதரவு'): 1.0}","{('కాల్', 'మద్దతు'): 1.0}","[('కాల్', 'OTHER'), ('మద్దతు', 'OTHER')]","[('కాల్', 'O'), ('మద్దతు', 'O')]","{'கால்': 1, 'ஆதரவு': 1}","{'కాల్': 1, 'మద్దతు': 1}",0.0
"['பின்னர்', 'தொழிலாள']","['నుండి', 'పని']","{('பின்னர்', 'தொழிலாள'): 1.0}","{('నుండి', 'పని'): 1.0}","[('నుండి', 'OTHER'), ('పని', 'OTHER')]","[('నుండి', 'O'), ('పని', 'O')]","{'பின்னர்': 1, 'தொழிலாள': 1}","{'నుండి': 1, 'పని': 1}",0.0
"['நீங்கள்', 'என்ன', 'செய்ய', 'வேண்டும்']","['మీరు', 'ఏమి', 'చేయాల్సి', 'ఉంటుంది']","{('நீங்கள்', 'என்ன'): 0.3333333333333333, ('என்ன', 'செய்ய'): 0.3333333333333333, ('செய்ய', 'வேண்டும்'): 0.3333333333333333}","{('మీరు', 'ఏమి'): 0.3333333333333333, ('ఏమి', 'చేయాల్సి'): 0.3333333333333333, ('చేయాల్సి', 'ఉంటుంది'): 0.3333333333333333}","[('మీరు', 'OTHER'), ('ఏమి', 'OTHER'), ('చేయాల్సి', 'OTHER'), ('ఉంటుంది', 'OTHER')]","[('మీరు', 'O'), ('ఏమి', 'O'), ('చేయాల్సి', 'O'), ('ఉంటుంది', 'O')]","{'நீங்கள்': 1, 'என்ன': 1, 'செய்ய': 1, 'வேண்டும்': 1}","{'మీరు': 1, 'ఏమి': 1, 'చేయాల్సి': 1, 'ఉంటుంది': 1}",0.0
"['டாடி', 'ஒவ்வொரு', 'நாளும்', 'என்னை', 'ஐஸ்கிரீம்', 'கொண்டு']","['డాడీ', 'నాకు', 'ప్రతి', 'రోజు', 'ఐస్', 'క్రీమ్', 'తెస్తుంది']","{('டாடி', 'ஒவ்வொரு'): 0.2, ('ஒவ்வொரு', 'நாளும்'): 0.2, ('நாளும்', 'என்னை'): 0.2, ('என்னை', 'ஐஸ்கிரீம்'): 0.2, ('ஐஸ்கிரீம்', 'கொண்டு'): 0.2}","{('డాడీ', 'నాకు'): 0.16666666666666666, ('నాకు', 'ప్రతి'): 0.16666666666666666, ('ప్రతి', 'రోజు'): 0.16666666666666666, ('రోజు', 'ఐస్'): 0.16666666666666666, ('ఐస్', 'క్రీమ్'): 0.16666666666666666, ('క్రీమ్', 'తెస్తుంది'): 0.16666666666666666}","[('డాడీ', 'OTHER'), ('నాకు', 'OTHER'), ('ప్రతి', 'OTHER'), ('రోజు', 'OTHER'), ('ఐస్', 'OTHER'), ('క్రీమ్', 'OTHER'), ('తెస్తుంది', 'VERB')]","[('డాడీ', 'O'), ('నాకు', 'O'), ('ప్రతి', 'O'), ('రోజు', 'O'), ('ఐస్', 'O'), ('క్రీమ్', 'O'), ('తెస్తుంది', 'O')]","{'டாடி': 1, 'ஒவ்வொரு': 1, 'நாளும்': 1, 'என்னை': 1, 'ஐஸ்கிரீம்': 1, 'கொண்டு': 1}","{'డాడీ': 1, 'నాకు': 1, 'ప్రతి': 1, 'రోజు': 1, 'ఐస్': 1, 'క్రీమ్': 1, 'తెస్తుంది': 1}",0.0
"['நாங்கள்', 'பதில்', 'அளிக்கப்படும்', 'மணி']","['మేము', 'లో', 'ప్రత్యుత్తరం', 'ఉంటుంది', 'గంటల']","{('நாங்கள்', 'பதில்'): 0.3333333333333333, ('பதில்', 'அளிக்கப்படும்'): 0.3333333333333333, ('அளிக்கப்படும்', 'மணி'): 0.3333333333333333}","{('మేము', 'లో'): 0.25, ('లో', 'ప్రత్యుత్తరం'): 0.25, ('ప్రత్యుత్తరం', 'ఉంటుంది'): 0.25, ('ఉంటుంది', 'గంటల'): 0.25}","[('మేము', 'NOUN'), ('లో', 'OTHER'), ('ప్రత్యుత్తరం', 'OTHER'), ('ఉంటుంది', 'OTHER'), ('గంటల', 'OTHER')]","[('మేము', 'O'), ('లో', 'O'), ('ప్రత్యుత్తరం', 'O'), ('ఉంటుంది', 'O'), ('గంటల', 'O')]","{'நாங்கள்': 1, 'பதில்': 1, 'அளிக்கப்படும்': 1, 'மணி': 1}","{'మేము': 1, 'లో': 1, 'ప్రత్యుత్తరం': 1, 'ఉంటుంది': 1, 'గంటల': 1}",0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
"['இடுகைகள்', 'இல்லை']","['పోస్ట్లు', 'లేవు']","{('இடுகைகள்', 'இல்லை'): 1.0}","{('పోస్ట్లు', 'లేవు'): 1.0}","[('పోస్ట్లు', 'OTHER'), ('లేవు', 'OTHER')]","[('పోస్ట్లు', 'O'), ('లేవు', 'O')]","{'இடுகைகள்': 1, 'இல்லை': 1}","{'పోస్ట్లు': 1, 'లేవు': 1}",0.0
['மே'],['మే'],{},{},"[('మే', 'OTHER')]","[('మే', 'O')]",{'மே': 1},{'మే': 1},0.0
