Telugu,Tamil,Tamil_tokens,Telugu_tokens,Tamil_POS,Telugu_POS,Tamil_NER,Telugu_NER
చెప్పారు,என்கிறார்,['என்கிறார்'],['చెప్పారు'],"[('என்கிறார்', 'VERB')]","[('చెప్పారు', 'NOUN')]","[('என்கிறார்', 'O')]","[('చెప్పారు', 'O')]"
హా హా  చాలా ఫన్నీ,ஹஹா  மிகவும் வேடிக்கையான,"['ஹஹா', 'மிகவும்', 'வேடிக்கையான']","['హా', 'హా', 'చాలా', 'ఫన్నీ']","[('ஹஹா', 'NOUN'), ('மிகவும்', 'NOUN'), ('வேடிக்கையான', 'NOUN')]","[('హా', 'NOUN'), ('హా', 'NOUN'), ('చాలా', 'NOUN'), ('ఫన్నీ', 'NOUN')]","[('ஹஹா', 'O'), ('மிகவும்', 'O'), ('வேடிக்கையான', 'O')]","[('హా', 'O'), ('హా', 'O'), ('చాలా', 'O'), ('ఫన్నీ', 'O')]"
చెప్పారు,என்கிறார்,['என்கிறார்'],['చెప్పారు'],"[('என்கிறார்', 'VERB')]","[('చెప్పారు', 'NOUN')]","[('என்கிறார்', 'O')]","[('చెప్పారు', 'O')]"
తర్వాత  పేజీ,அடுத்த  பக்கம்,"['அடுத்த', 'பக்கம்']","['తర్వాత', 'పేజీ']","[('அடுத்த', 'NOUN'), ('பக்கம்', 'NOUN')]","[('తర్వాత', 'NOUN'), ('పేజీ', 'NOUN')]","[('அடுத்த', 'O'), ('பக்கம்', 'O')]","[('తర్వాత', 'O'), ('పేజీ', 'O')]"
గంట  నిమిషం,ஹவர்  நிமிடம்,"['ஹவர்', 'நிமிடம்']","['గంట', 'నిమిషం']","[('ஹவர்', 'NOUN'), ('நிமிடம்', 'NOUN')]","[('గంట', 'NOUN'), ('నిమిషం', 'VERB')]","[('ஹவர்', 'O'), ('நிமிடம்', 'O')]","[('గంట', 'O'), ('నిమిషం', 'O')]"
ఏ చెడు వాసన,எந்த விரும்பத்தகாத வாசனையை,"['எந்த', 'விரும்பத்தகாத', 'வாசனையை']","['ఏ', 'చెడు', 'వాసన']","[('எந்த', 'NOUN'), ('விரும்பத்தகாத', 'NOUN'), ('வாசனையை', 'NOUN')]","[('ఏ', 'NOUN'), ('చెడు', 'NOUN'), ('వాసన', 'NOUN')]","[('எந்த', 'O'), ('விரும்பத்தகாத', 'O'), ('வாசனையை', 'O')]","[('ఏ', 'O'), ('చెడు', 'O'), ('వాసన', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
మిస్లాండోడ్   లు   కర్ల్  ప్రీఫిన్డ్ వాల్యూమ్ వెంట్రుష్,பிசிக்கள்   கர்ல்  முன்வார்ன்ட் வால்யூம் லீலாஷ்,"['பிசிக்கள்', 'கர்ல்', 'முன்வார்ன்ட்', 'வால்யூம்', 'லீலாஷ்']","['మిస్లాండోడ్', 'లు', 'కర్ల్', 'ప్రీఫిన్డ్', 'వాల్యూమ్', 'వెంట్రుష్']","[('பிசிக்கள்', 'NOUN'), ('கர்ல்', 'POSTP'), ('முன்வார்ன்ட்', 'NOUN'), ('வால்யூம்', 'NOUN'), ('லீலாஷ்', 'NOUN')]","[('మిస్లాండోడ్', 'NOUN'), ('లు', 'NOUN'), ('కర్ల్', 'NOUN'), ('ప్రీఫిన్డ్', 'NOUN'), ('వాల్యూమ్', 'NOUN'), ('వెంట్రుష్', 'NOUN')]","[('பிசிக்கள்', 'O'), ('கர்ல்', 'O'), ('முன்வார்ன்ட்', 'O'), ('வால்யூம்', 'O'), ('லீலாஷ்', 'O')]","[('మిస్లాండోడ్', 'O'), ('లు', 'O'), ('కర్ల్', 'O'), ('ప్రీఫిన్డ్', 'O'), ('వాల్యూమ్', 'O'), ('వెంట్రుష్', 'O')]"
వ్యాకరణం ఈ ఆ ఏమి ఉంది,இலக்கணம் இந்த என்று என்ன,"['இலக்கணம்', 'இந்த', 'என்று', 'என்ன']","['వ్యాకరణం', 'ఈ', 'ఆ', 'ఏమి', 'ఉంది']","[('இலக்கணம்', 'NOUN'), ('இந்த', 'NOUN'), ('என்று', 'NOUN'), ('என்ன', 'NOUN')]","[('వ్యాకరణం', 'VERB'), ('ఈ', 'NOUN'), ('ఆ', 'NOUN'), ('ఏమి', 'NOUN'), ('ఉంది', 'NOUN')]","[('இலக்கணம்', 'O'), ('இந்த', 'O'), ('என்று', 'O'), ('என்ன', 'O')]","[('వ్యాకరణం', 'O'), ('ఈ', 'O'), ('ఆ', 'O'), ('ఏమి', 'O'), ('ఉంది', 'O')]"
టెల్,தொலைபேசி,['தொலைபேசி'],['టెల్'],"[('தொலைபேசி', 'NOUN')]","[('టెల్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('టెల్', 'O')]"
సేల్స్ హాట్లైన్ను,விற்பனை ஹாட்லைன்,"['விற்பனை', 'ஹாட்லைன்']","['సేల్స్', 'హాట్లైన్ను']","[('விற்பனை', 'NOUN'), ('ஹாட்லைன்', 'NOUN')]","[('సేల్స్', 'NOUN'), ('హాట్లైన్ను', 'NOUN')]","[('விற்பனை', 'O'), ('ஹாட்லைன்', 'O')]","[('సేల్స్', 'O'), ('హాట్లైన్ను', 'O')]"
మాతో చేరండి మా ఆనందించండి అవకాశాలు,எங்களுக்கு சேர எங்கள் அனுபவிக்க வாய்ப்புகள்,"['எங்களுக்கு', 'சேர', 'எங்கள்', 'அனுபவிக்க', 'வாய்ப்புகள்']","['మాతో', 'చేరండి', 'మా', 'ఆనందించండి', 'అవకాశాలు']","[('எங்களுக்கு', 'NOUN'), ('சேர', 'NOUN'), ('எங்கள்', 'NOUN'), ('அனுபவிக்க', 'NOUN'), ('வாய்ப்புகள்', 'NOUN')]","[('మాతో', 'NOUN'), ('చేరండి', 'NOUN'), ('మా', 'NOUN'), ('ఆనందించండి', 'NOUN'), ('అవకాశాలు', 'NOUN')]","[('எங்களுக்கு', 'O'), ('சேர', 'O'), ('எங்கள்', 'O'), ('அனுபவிக்க', 'O'), ('வாய்ப்புகள்', 'O')]","[('మాతో', 'O'), ('చేరండి', 'O'), ('మా', 'O'), ('ఆనందించండి', 'O'), ('అవకాశాలు', 'O')]"
ధన్యవాదాలు మీరు ఏ ఆలోచనలు వచ్చింది ఉంటే నాకు తెలపండి,நீங்கள் எந்த யோசனையும் கிடைத்தால் எனக்குத் தெரியப்படுத்துங்கள்,"['நீங்கள்', 'எந்த', 'யோசனையும்', 'கிடைத்தால்', 'எனக்குத்', 'தெரியப்படுத்துங்கள்']","['ధన్యవాదాలు', 'మీరు', 'ఏ', 'ఆలోచనలు', 'వచ్చింది', 'ఉంటే', 'నాకు', 'తెలపండి']","[('நீங்கள்', 'NOUN'), ('எந்த', 'NOUN'), ('யோசனையும்', 'NOUN'), ('கிடைத்தால்', 'POSTP'), ('எனக்குத்', 'NOUN'), ('தெரியப்படுத்துங்கள்', 'NOUN')]","[('ధన్యవాదాలు', 'NOUN'), ('మీరు', 'NOUN'), ('ఏ', 'NOUN'), ('ఆలోచనలు', 'NOUN'), ('వచ్చింది', 'NOUN'), ('ఉంటే', 'NOUN'), ('నాకు', 'NOUN'), ('తెలపండి', 'NOUN')]","[('நீங்கள்', 'O'), ('எந்த', 'O'), ('யோசனையும்', 'O'), ('கிடைத்தால்', 'O'), ('எனக்குத்', 'O'), ('தெரியப்படுத்துங்கள்', 'O')]","[('ధన్యవాదాలు', 'O'), ('మీరు', 'O'), ('ఏ', 'O'), ('ఆలోచనలు', 'O'), ('వచ్చింది', 'O'), ('ఉంటే', 'O'), ('నాకు', 'O'), ('తెలపండి', 'O')]"
దయచేసి మరింత సమాచారం కోసం సంప్రదించండి,மேலும் தகவலுக்கு எங்களை தொடர்பு கொள்ளவும்,"['மேலும்', 'தகவலுக்கு', 'எங்களை', 'தொடர்பு', 'கொள்ளவும்']","['దయచేసి', 'మరింత', 'సమాచారం', 'కోసం', 'సంప్రదించండి']","[('மேலும்', 'NOUN'), ('தகவலுக்கு', 'NOUN'), ('எங்களை', 'NOUN'), ('தொடர்பு', 'NOUN'), ('கொள்ளவும்', 'NOUN')]","[('దయచేసి', 'NOUN'), ('మరింత', 'NOUN'), ('సమాచారం', 'VERB'), ('కోసం', 'VERB'), ('సంప్రదించండి', 'NOUN')]","[('மேலும்', 'O'), ('தகவலுக்கு', 'O'), ('எங்களை', 'O'), ('தொடர்பு', 'O'), ('கொள்ளவும்', 'O')]","[('దయచేసి', 'O'), ('మరింత', 'O'), ('సమాచారం', 'O'), ('కోసం', 'O'), ('సంప్రదించండి', 'O')]"
మీరు  తో మంచి డబ్బు చేయవచ్చు,நீங்கள்  உடன் நல்ல பணம் முடியுமா,"['நீங்கள்', 'உடன்', 'நல்ல', 'பணம்', 'முடியுமா']","['మీరు', 'తో', 'మంచి', 'డబ్బు', 'చేయవచ్చు']","[('நீங்கள்', 'NOUN'), ('உடன்', 'NOUN'), ('நல்ல', 'NOUN'), ('பணம்', 'NOUN'), ('முடியுமா', 'NOUN')]","[('మీరు', 'NOUN'), ('తో', 'NOUN'), ('మంచి', 'NOUN'), ('డబ్బు', 'NOUN'), ('చేయవచ్చు', 'NOUN')]","[('நீங்கள்', 'O'), ('உடன்', 'O'), ('நல்ல', 'O'), ('பணம்', 'O'), ('முடியுமா', 'O')]","[('మీరు', 'O'), ('తో', 'O'), ('మంచి', 'O'), ('డబ్బు', 'O'), ('చేయవచ్చు', 'O')]"
మొదటి పేరు చివరి పేరు,முதல் பெயர் கடைசி பெயர்,"['முதல்', 'பெயர்', 'கடைசி', 'பெயர்']","['మొదటి', 'పేరు', 'చివరి', 'పేరు']","[('முதல்', 'POSTP'), ('பெயர்', 'NOUN'), ('கடைசி', 'NOUN'), ('பெயர்', 'NOUN')]","[('మొదటి', 'NOUN'), ('పేరు', 'NOUN'), ('చివరి', 'NOUN'), ('పేరు', 'NOUN')]","[('முதல்', 'O'), ('பெயர்', 'O'), ('கடைசி', 'O'), ('பெயர்', 'O')]","[('మొదటి', 'O'), ('పేరు', 'O'), ('చివరి', 'O'), ('పేరు', 'O')]"
అందరూ మేము అన్ని ఉన్నాయి,எல்லோரும் நாங்கள் எல்லோரும்,"['எல்லோரும்', 'நாங்கள்', 'எல்லோரும்']","['అందరూ', 'మేము', 'అన్ని', 'ఉన్నాయి']","[('எல்லோரும்', 'NOUN'), ('நாங்கள்', 'NOUN'), ('எல்லோரும்', 'NOUN')]","[('అందరూ', 'NOUN'), ('మేము', 'NOUN'), ('అన్ని', 'NOUN'), ('ఉన్నాయి', 'NOUN')]","[('எல்லோரும்', 'O'), ('நாங்கள்', 'O'), ('எல்லோரும்', 'O')]","[('అందరూ', 'O'), ('మేము', 'O'), ('అన్ని', 'O'), ('ఉన్నాయి', 'O')]"
©   టెక్నాలజీస్,©  ஊபர் டெக்னாலஜீஸ் இன்க்,"['©', 'ஊபர்', 'டெக்னாலஜீஸ்', 'இன்க்']","['©', 'టెక్నాలజీస్']","[('©', 'NOUN'), ('ஊபர்', 'NOUN'), ('டெக்னாலஜீஸ்', 'NOUN'), ('இன்க்', 'NOUN')]","[('©', 'NOUN'), ('టెక్నాలజీస్', 'NOUN')]","[('©', 'O'), ('ஊபர்', 'O'), ('டெக்னாலஜீஸ்', 'O'), ('இன்க்', 'O')]","[('©', 'O'), ('టెక్నాలజీస్', 'O')]"
ఇది అంత సులభమా,இது இவ்வளவு சுலபமா,"['இது', 'இவ்வளவு', 'சுலபமா']","['ఇది', 'అంత', 'సులభమా']","[('இது', 'NOUN'), ('இவ்வளவு', 'NOUN'), ('சுலபமா', 'NOUN')]","[('ఇది', 'NOUN'), ('అంత', 'NOUN'), ('సులభమా', 'NOUN')]","[('இது', 'O'), ('இவ்வளவு', 'O'), ('சுலபமா', 'O')]","[('ఇది', 'O'), ('అంత', 'O'), ('సులభమా', 'O')]"
కేవలం ఒక ఆలోచన,ஒரு சிந்தனை,"['ஒரு', 'சிந்தனை']","['కేవలం', 'ఒక', 'ఆలోచన']","[('ஒரு', 'NOUN'), ('சிந்தனை', 'NOUN')]","[('కేవలం', 'VERB'), ('ఒక', 'NOUN'), ('ఆలోచన', 'NOUN')]","[('ஒரு', 'O'), ('சிந்தனை', 'O')]","[('కేవలం', 'O'), ('ఒక', 'O'), ('ఆలోచన', 'O')]"
చిరునామాలు మరియు సంస్థలు గురించి సమీక్షలు,நிறுவனங்கள் பற்றி முகவரிகள் மற்றும் விமர்சனங்களை,"['நிறுவனங்கள்', 'பற்றி', 'முகவரிகள்', 'மற்றும்', 'விமர்சனங்களை']","['చిరునామాలు', 'మరియు', 'సంస్థలు', 'గురించి', 'సమీక్షలు']","[('நிறுவனங்கள்', 'NOUN'), ('பற்றி', 'NOUN'), ('முகவரிகள்', 'NOUN'), ('மற்றும்', 'NOUN'), ('விமர்சனங்களை', 'NOUN')]","[('చిరునామాలు', 'NOUN'), ('మరియు', 'NOUN'), ('సంస్థలు', 'NOUN'), ('గురించి', 'NOUN'), ('సమీక్షలు', 'NOUN')]","[('நிறுவனங்கள்', 'O'), ('பற்றி', 'O'), ('முகவரிகள்', 'O'), ('மற்றும்', 'O'), ('விமர்சனங்களை', 'O')]","[('చిరునామాలు', 'O'), ('మరియు', 'O'), ('సంస్థలు', 'O'), ('గురించి', 'O'), ('సమీక్షలు', 'O')]"
©  మమ్మల్ని సంప్రదించండి సైట్ మ్యాప్,©  எங்களை தொடர்பு கொள்ள தள வரைபடம்,"['©', 'எங்களை', 'தொடர்பு', 'கொள்ள', 'தள', 'வரைபடம்']","['©', 'మమ్మల్ని', 'సంప్రదించండి', 'సైట్', 'మ్యాప్']","[('©', 'NOUN'), ('எங்களை', 'NOUN'), ('தொடர்பு', 'NOUN'), ('கொள்ள', 'NOUN'), ('தள', 'NOUN'), ('வரைபடம்', 'NOUN')]","[('©', 'NOUN'), ('మమ్మల్ని', 'NOUN'), ('సంప్రదించండి', 'NOUN'), ('సైట్', 'NOUN'), ('మ్యాప్', 'NOUN')]","[('©', 'O'), ('எங்களை', 'O'), ('தொடர்பு', 'O'), ('கொள்ள', 'O'), ('தள', 'O'), ('வரைபடம்', 'O')]","[('©', 'O'), ('మమ్మల్ని', 'O'), ('సంప్రదించండి', 'O'), ('సైట్', 'O'), ('మ్యాప్', 'O')]"
సహాయం కనుగొనండి,உதவியைக் கண்டுபிடி,"['உதவியைக்', 'கண்டுபிடி']","['సహాయం', 'కనుగొనండి']","[('உதவியைக்', 'NOUN'), ('கண்டுபிடி', 'NOUN')]","[('సహాయం', 'VERB'), ('కనుగొనండి', 'NOUN')]","[('உதவியைக்', 'O'), ('கண்டுபிடி', 'O')]","[('సహాయం', 'O'), ('కనుగొనండి', 'O')]"
©  మమ్మల్ని సంప్రదించండి సైట్ మ్యాప్,©  எங்களை தொடர்பு கொள்ள தள வரைபடம்,"['©', 'எங்களை', 'தொடர்பு', 'கொள்ள', 'தள', 'வரைபடம்']","['©', 'మమ్మల్ని', 'సంప్రదించండి', 'సైట్', 'మ్యాప్']","[('©', 'NOUN'), ('எங்களை', 'NOUN'), ('தொடர்பு', 'NOUN'), ('கொள்ள', 'NOUN'), ('தள', 'NOUN'), ('வரைபடம்', 'NOUN')]","[('©', 'NOUN'), ('మమ్మల్ని', 'NOUN'), ('సంప్రదించండి', 'NOUN'), ('సైట్', 'NOUN'), ('మ్యాప్', 'NOUN')]","[('©', 'O'), ('எங்களை', 'O'), ('தொடர்பு', 'O'), ('கொள்ள', 'O'), ('தள', 'O'), ('வரைபடம்', 'O')]","[('©', 'O'), ('మమ్మల్ని', 'O'), ('సంప్రదించండి', 'O'), ('సైట్', 'O'), ('మ్యాప్', 'O')]"
మరింత  కంపెనీలు మాతో ఉన్నారు,மேலும்  நிறுவனங்கள் எங்களுடன் ஏற்கனவே,"['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']","['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","[('மேலும்', 'NOUN'), ('நிறுவனங்கள்', 'NOUN'), ('எங்களுடன்', 'NOUN'), ('ஏற்கனவே', 'NOUN')]","[('మరింత', 'NOUN'), ('కంపెనీలు', 'NOUN'), ('మాతో', 'NOUN'), ('ఉన్నారు', 'NOUN')]","[('மேலும்', 'O'), ('நிறுவனங்கள்', 'O'), ('எங்களுடன்', 'O'), ('ஏற்கனவே', 'O')]","[('మరింత', 'O'), ('కంపెనీలు', 'O'), ('మాతో', 'O'), ('ఉన్నారు', 'O')]"
నేను మీరు ఒక గొప్ప కలిగి ఆశిస్తున్నాము,நான் உங்களுக்கு ஒரு பெரிய வேண்டும் என்று நான் நம்புகிறேன்,"['நான்', 'உங்களுக்கு', 'ஒரு', 'பெரிய', 'வேண்டும்', 'என்று', 'நான்', 'நம்புகிறேன்']","['నేను', 'మీరు', 'ఒక', 'గొప్ప', 'కలిగి', 'ఆశిస్తున్నాము']","[('நான்', 'NOUN'), ('உங்களுக்கு', 'NOUN'), ('ஒரு', 'NOUN'), ('பெரிய', 'NOUN'), ('வேண்டும்', 'NOUN'), ('என்று', 'NOUN'), ('நான்', 'NOUN'), ('நம்புகிறேன்', 'NOUN')]","[('నేను', 'NOUN'), ('మీరు', 'NOUN'), ('ఒక', 'NOUN'), ('గొప్ప', 'NOUN'), ('కలిగి', 'NOUN'), ('ఆశిస్తున్నాము', 'NOUN')]","[('நான்', 'O'), ('உங்களுக்கு', 'O'), ('ஒரு', 'O'), ('பெரிய', 'O'), ('வேண்டும்', 'O'), ('என்று', 'O'), ('நான்', 'O'), ('நம்புகிறேன்', 'O')]","[('నేను', 'O'), ('మీరు', 'O'), ('ఒక', 'O'), ('గొప్ప', 'O'), ('కలిగి', 'O'), ('ఆశిస్తున్నాము', 'O')]"
సమస్యలు మీరు వచ్చారు ముందు మేము సమస్యలను పరిష్కరించటానికి,பிரச்சினைகள் நீங்கள் வருமுன் நாம் பிரச்சினைகளை தீர்க்க,"['பிரச்சினைகள்', 'நீங்கள்', 'வருமுன்', 'நாம்', 'பிரச்சினைகளை', 'தீர்க்க']","['సమస్యలు', 'మీరు', 'వచ్చారు', 'ముందు', 'మేము', 'సమస్యలను', 'పరిష్కరించటానికి']","[('பிரச்சினைகள்', 'NOUN'), ('நீங்கள்', 'NOUN'), ('வருமுன்', 'NOUN'), ('நாம்', 'NOUN'), ('பிரச்சினைகளை', 'NOUN'), ('தீர்க்க', 'NOUN')]","[('సమస్యలు', 'NOUN'), ('మీరు', 'NOUN'), ('వచ్చారు', 'NOUN'), ('ముందు', 'NOUN'), ('మేము', 'NOUN'), ('సమస్యలను', 'NOUN'), ('పరిష్కరించటానికి', 'POSTP')]","[('பிரச்சினைகள்', 'O'), ('நீங்கள்', 'O'), ('வருமுன்', 'O'), ('நாம்', 'O'), ('பிரச்சினைகளை', 'O'), ('தீர்க்க', 'O')]","[('సమస్యలు', 'O'), ('మీరు', 'O'), ('వచ్చారు', 'O'), ('ముందు', 'O'), ('మేము', 'O'), ('సమస్యలను', 'O'), ('పరిష్కరించటానికి', 'O')]"
కానీ అది ప్రారంభం మాత్రమే,ஆனால் அது ஒரு ஆரம்பம் மட்டுமே,"['ஆனால்', 'அது', 'ஒரு', 'ஆரம்பம்', 'மட்டுமே']","['కానీ', 'అది', 'ప్రారంభం', 'మాత్రమే']","[('ஆனால்', 'POSTP'), ('அது', 'NOUN'), ('ஒரு', 'NOUN'), ('ஆரம்பம்', 'NOUN'), ('மட்டுமே', 'NOUN')]","[('కానీ', 'NOUN'), ('అది', 'NOUN'), ('ప్రారంభం', 'VERB'), ('మాత్రమే', 'NOUN')]","[('ஆனால்', 'O'), ('அது', 'O'), ('ஒரு', 'O'), ('ஆரம்பம்', 'O'), ('மட்டுமே', 'O')]","[('కానీ', 'O'), ('అది', 'O'), ('ప్రారంభం', 'O'), ('మాత్రమే', 'O')]"
మాత్రమే ఆమె ఆమె అవసరం అన్ని కలిగి ఉంటే,அவள் அந்த வேண்டும் என்று அனைத்து வந்துவிட்டுப்,"['அவள்', 'அந்த', 'வேண்டும்', 'என்று', 'அனைத்து', 'வந்துவிட்டுப்']","['మాత్రమే', 'ఆమె', 'ఆమె', 'అవసరం', 'అన్ని', 'కలిగి', 'ఉంటే']","[('அவள்', 'NOUN'), ('அந்த', 'NOUN'), ('வேண்டும்', 'NOUN'), ('என்று', 'NOUN'), ('அனைத்து', 'NOUN'), ('வந்துவிட்டுப்', 'NOUN')]","[('మాత్రమే', 'NOUN'), ('ఆమె', 'NOUN'), ('ఆమె', 'NOUN'), ('అవసరం', 'VERB'), ('అన్ని', 'NOUN'), ('కలిగి', 'NOUN'), ('ఉంటే', 'NOUN')]","[('அவள்', 'O'), ('அந்த', 'O'), ('வேண்டும்', 'O'), ('என்று', 'O'), ('அனைத்து', 'O'), ('வந்துவிட்டுப்', 'O')]","[('మాత్రమే', 'O'), ('ఆమె', 'O'), ('ఆమె', 'O'), ('అవసరం', 'O'), ('అన్ని', 'O'), ('కలిగి', 'O'), ('ఉంటే', 'O')]"
దుబాయ్ మేము వస్తున్నారా,துபாய் நாம் வருகிறார்கள்,"['துபாய்', 'நாம்', 'வருகிறார்கள்']","['దుబాయ్', 'మేము', 'వస్తున్నారా']","[('துபாய்', 'NOUN'), ('நாம்', 'NOUN'), ('வருகிறார்கள்', 'NOUN')]","[('దుబాయ్', 'NOUN'), ('మేము', 'NOUN'), ('వస్తున్నారా', 'NOUN')]","[('துபாய்', 'O'), ('நாம்', 'O'), ('வருகிறார்கள்', 'O')]","[('దుబాయ్', 'O'), ('మేము', 'O'), ('వస్తున్నారా', 'O')]"
మాకు మెయిల్ చేయండి,எங்களுக்கு மின்னஞ்சல் அனுப்ப,"['எங்களுக்கு', 'மின்னஞ்சல்', 'அனுப்ப']","['మాకు', 'మెయిల్', 'చేయండి']","[('எங்களுக்கு', 'NOUN'), ('மின்னஞ்சல்', 'POSTP'), ('அனுப்ப', 'NOUN')]","[('మాకు', 'NOUN'), ('మెయిల్', 'NOUN'), ('చేయండి', 'NOUN')]","[('எங்களுக்கு', 'O'), ('மின்னஞ்சல்', 'O'), ('அனுப்ப', 'O')]","[('మాకు', 'O'), ('మెయిల్', 'O'), ('చేయండి', 'O')]"
పఠనం కొనసాగించండి,தொடர்ந்து படிக்க,"['தொடர்ந்து', 'படிக்க']","['పఠనం', 'కొనసాగించండి']","[('தொடர்ந்து', 'NOUN'), ('படிக்க', 'NOUN')]","[('పఠనం', 'VERB'), ('కొనసాగించండి', 'NOUN')]","[('தொடர்ந்து', 'O'), ('படிக்க', 'O')]","[('పఠనం', 'O'), ('కొనసాగించండి', 'O')]"
హలో మాట్ ఎలా మీరు నేడు,வணக்கம் மாட் இன்று எப்படி இருக்கிறீர்கள்,"['வணக்கம்', 'மாட்', 'இன்று', 'எப்படி', 'இருக்கிறீர்கள்']","['హలో', 'మాట్', 'ఎలా', 'మీరు', 'నేడు']","[('வணக்கம்', 'NOUN'), ('மாட்', 'NOUN'), ('இன்று', 'NOUN'), ('எப்படி', 'NOUN'), ('இருக்கிறீர்கள்', 'NOUN')]","[('హలో', 'NOUN'), ('మాట్', 'NOUN'), ('ఎలా', 'NOUN'), ('మీరు', 'NOUN'), ('నేడు', 'NOUN')]","[('வணக்கம்', 'O'), ('மாட்', 'O'), ('இன்று', 'O'), ('எப்படி', 'O'), ('இருக்கிறீர்கள்', 'O')]","[('హలో', 'O'), ('మాట్', 'O'), ('ఎలా', 'O'), ('మీరు', 'O'), ('నేడు', 'O')]"
మే,மே,['மே'],['మే'],"[('மே', 'NOUN')]","[('మే', 'NOUN')]","[('மே', 'O')]","[('మే', 'O')]"
అయితే సహాయం ధన్యవాదాలు,என்றாலும் உதவியதற்கு நன்றி,"['என்றாலும்', 'உதவியதற்கு', 'நன்றி']","['అయితే', 'సహాయం', 'ధన్యవాదాలు']","[('என்றாலும்', 'NOUN'), ('உதவியதற்கு', 'NOUN'), ('நன்றி', 'NOUN')]","[('అయితే', 'NOUN'), ('సహాయం', 'VERB'), ('ధన్యవాదాలు', 'NOUN')]","[('என்றாலும்', 'O'), ('உதவியதற்கு', 'O'), ('நன்றி', 'O')]","[('అయితే', 'O'), ('సహాయం', 'O'), ('ధన్యవాదాలు', 'O')]"
అవును ఇది కూడా అలాంటిదే,ஆமாம் இரண்டும் ஒன்று தான்,"['ஆமாம்', 'இரண்டும்', 'ஒன்று', 'தான்']","['అవును', 'ఇది', 'కూడా', 'అలాంటిదే']","[('ஆமாம்', 'NOUN'), ('இரண்டும்', 'NOUN'), ('ஒன்று', 'NOUN'), ('தான்', 'NOUN')]","[('అవును', 'NOUN'), ('ఇది', 'NOUN'), ('కూడా', 'NOUN'), ('అలాంటిదే', 'NOUN')]","[('ஆமாம்', 'O'), ('இரண்டும்', 'O'), ('ஒன்று', 'O'), ('தான்', 'O')]","[('అవును', 'O'), ('ఇది', 'O'), ('కూడా', 'O'), ('అలాంటిదే', 'O')]"
బరువు,எடை,['எடை'],['బరువు'],"[('எடை', 'NOUN')]","[('బరువు', 'NOUN')]","[('எடை', 'O')]","[('బరువు', 'O')]"
అంటే ఏమిటి మరియు వారు ఏమి చేస్తారు,என்றால் என்ன அவர்கள் என்ன செய்கிறார்கள்,"['என்றால்', 'என்ன', 'அவர்கள்', 'என்ன', 'செய்கிறார்கள்']","['అంటే', 'ఏమిటి', 'మరియు', 'వారు', 'ఏమి', 'చేస్తారు']","[('என்றால்', 'POSTP'), ('என்ன', 'NOUN'), ('அவர்கள்', 'NOUN'), ('என்ன', 'NOUN'), ('செய்கிறார்கள்', 'NOUN')]","[('అంటే', 'NOUN'), ('ఏమిటి', 'NOUN'), ('మరియు', 'NOUN'), ('వారు', 'NOUN'), ('ఏమి', 'NOUN'), ('చేస్తారు', 'NOUN')]","[('என்றால்', 'O'), ('என்ன', 'O'), ('அவர்கள்', 'O'), ('என்ன', 'O'), ('செய்கிறார்கள்', 'O')]","[('అంటే', 'O'), ('ఏమిటి', 'O'), ('మరియు', 'O'), ('వారు', 'O'), ('ఏమి', 'O'), ('చేస్తారు', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
మానవులు ఏమి చేస్తారు,மனிதர்கள் என்ன செய்ய வேண்டாம்,"['மனிதர்கள்', 'என்ன', 'செய்ய', 'வேண்டாம்']","['మానవులు', 'ఏమి', 'చేస్తారు']","[('மனிதர்கள்', 'NOUN'), ('என்ன', 'NOUN'), ('செய்ய', 'NOUN'), ('வேண்டாம்', 'NOUN')]","[('మానవులు', 'NOUN'), ('ఏమి', 'NOUN'), ('చేస్తారు', 'NOUN')]","[('மனிதர்கள்', 'O'), ('என்ன', 'O'), ('செய்ய', 'O'), ('வேண்டாம்', 'O')]","[('మానవులు', 'O'), ('ఏమి', 'O'), ('చేస్తారు', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
పూర్తికాని,கூட்டுத்தொகை,['கூட்டுத்தொகை'],['పూర్తికాని'],"[('கூட்டுத்தொகை', 'NOUN')]","[('పూర్తికాని', 'NOUN')]","[('கூட்டுத்தொகை', 'O')]","[('పూర్తికాని', 'O')]"
