Telugu_Tokens,Tamil_Tokens
"['కాబట్టి', 'మీ', 'వ్యాపారం', 'కోసం', 'దీని', 'అర్థం', 'ఏమిటి']","['எனவே', 'இது', 'உங்கள்', 'வியாபாரத்திற்கு', 'என்ன', 'அர்த்தம்']"
"['తర్వాత', 'పేజీ']","['அடுத்து', 'பக்கம்']"
"['ఇంగ్లీష్అరబిక్ఆఫ్రికాన్స్బెలరుశియన్బల్గేరియన్చైనీస్చెక్డానిష్డచ్ఫిన్నిష్ఫ్రెంచ్', 'ఫ్రాన్స్ఫ్రెంచ్', 'కెనడాజర్మన్గ్రీక్హిబ్రూహిందీహంగేరియన్ఐస్లాండిక్ఇండోనేషియన్ఐరిష్ఇటాలియన్జపనీస్ఖ్మేర్కొరియన్లిథుయేనియన్మాల్టీస్నార్వేజియన్పోలిష్పోర్చుగీస్', 'బ్రెజిల్పోర్చుగీస్', 'పోర్చుగల్రష్యన్సెర్బియన్స్లోవాక్స్లోవేనియాన్స్పానిష్', 'మెక్సికోస్పానిష్', 'స్పెయిన్స్వాహిలిస్వీడిష్తమిళథాయ్టర్కిష్ఉక్రేనియన్వియత్నామీస్']","['ஆங்கிலம்அரபுஆஃப்ரிகான்ஸ்பைலோருஷ்ன்பல்கேரியன்காடலான்சீனகுரோஷியன்செக்டேனிஷ்டச்சுஎஸ்டோனியன்பாரசீகம்பின்னிஷ்பிரஞ்சு', 'பிரான்ஸ்பிரஞ்சு', 'கனடாஜெர்மன்கிரேக்கம்ஹீப்ருஇந்திஹங்கேரியன்ஐஸ்லென்டிக்இந்தோனேசியஐரிஷ்இத்தாலியஜப்பனீஸ்கெமெர்கொரியலேட்வியன்லிதுவேனியன்மால்டிஸ்மலாய்மாஸிடோனியன்நோர்வேபோலிஷ்போர்த்துகீசியம்', 'பிரேசில்போர்த்துகீசியம்', 'போர்ச்சுக்கல்ரோமானியன்ரஷியன்செர்பியன்ஸ்லோவாக்ஸ்லோவேனியன்ஸ்பானிஷ்', 'மெக்ஸிக்கோஸ்பானிஷ்', 'ஸ்பெயின்ஸ்வீடிஷ்தமிழ்தாய்துருக்கியஉக்ரைனியன்வியட்நாம்']"
"['మీ', 'ఒక', 'తెలివైన', 'వ్యక్తి', 'కాబట్టి']","['உங்கள்', 'ஒரு', 'வாரியாக', 'பையன்', 'ம்ம்']"
"['మాకు', 'కాల్']","['எங்களை', 'அழைக்க']"
"['ఉత్తమ', 'ఆహార', 'చికిత్స']","['சிறந்த', 'உணவு', 'உதவி']"
['మే'],['மே']
"['ఈ', 'కథనాన్ని', 'రేట్', 'చేయండి']","['இந்த', 'கட்டுரையை', 'மதிப்பிடுக']"
['ఫోన్'],['தொலைபேசி']
"['ఈ', 'పేజీలో', 'చివరి', 'న', 'నవీకరించబడింది']","['இப்பக்கம்', 'கடைசியாக', 'அன்று', 'புதுப்பிக்கப்பட்டது']"
"['ఇప్పుడు', 'కోసం', 'నేను', 'మాత్రమే', 'ఈ', 'చిన్న', 'నోట్', 'వ్రాయడానికి']","['இப்போது', 'நான்', 'மட்டுமே', 'இந்த', 'குறுகிய', 'குறிப்பு', 'எழுத']"
"['సాధారణంగా', 'రోజులలో']","['வழக்கமாக', 'நாட்கள்']"
['ఫోన్'],['தொலைபேசி']
"['మిస్లాండోడ్', 'లు', 'కర్ల్', 'ఫ్లాట్', 'వెంట్రుష్', 'ఎక్స్టెన్షన్']","['மிஸ்லாடோட்', 'பிசிக்கள்', 'கர்ல்', 'ஃப்ளாட்', 'கண்ணிஷ்', 'நீட்டிப்பு']"
['ఫోన్'],['தொலைபேசி']
['టెల్'],['தொலைபேசி']
"['మరిన్ని', 'చిత్రాలు', 'ఇక్కడ', 'క్లిక్', 'చేయండి']","['மேலும்', 'படங்கள்', 'இங்கே', 'கிளிக்', 'செய்யவும்']"
"['మీరే', 'మొదటి', 'వ్యాఖ్య', 'రాయండి', 'మీరు', 'ఏమి', 'ఆలోచిస్తాడు']","['முதலில்', 'கருத்து', 'தெரிவிப்பவர்', 'நீங்கள்', 'என்ன', 'நினைக்கிறீர்கள்']"
"['చూడండి', 'నేను', 'అతను', 'లేదు', 'మీరు', 'చెప్పారు']","['பார்', 'நான்', 'அவர்', 'உங்களுக்கு', 'சொன்னேன்']"
"['©', 'మమ్మల్ని', 'సంప్రదించండి', 'సైట్', 'మ్యాప్']","['©', 'எங்களை', 'தொடர்பு', 'கொள்ள', 'தள', 'வரைபடம்']"
"['మరియు', 'మొత్తం', 'చాలా']","['ஒரு', 'முழு', 'நிறைய']"
['ఫోన్'],['தொலைபேசி']
"['మీరు', 'ఇబ్బంది', 'లాగా']","['நீங்கள்', 'பிரச்சனையில்', 'போல']"
['ఎందుకు'],['ஏன்']
['ఫోన్'],['தொலைபேசி']
"['మొదట', 'మీరు', 'నాకు', 'కొన్ని', 'విషయాలు', 'చెప్పడానికి', 'కలిగి']","['முதலில்', 'நீங்கள்', 'ஏதாவது', 'சொல்ல', 'வேண்டும்']"
"['మీరు', 'మా', 'ఫీజు', 'తెలుసుకోవాలనుకుంటున్నారా']","['எங்கள்', 'கட்டணங்கள்', 'தெரியுமா']"
"['మా', 'కాల్']","['எங்களை', 'அழைக்கவும்']"
['ధన్యవాదాలు'],"['நன்றி', 'விமர்சனம்']"
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களுக்கு', 'அழைப்பு']"
"['భాషను', 'మార్చండి']","['மொழியை', 'மாற்றுக']"
"['పేజీ', 'యొక్క', '»']","['பக்கம்', 'என்ற', '»']"
"['నేను', 'గాని', 'ఏదైనా', 'యొక్క', 'భయపడ్డారు', 'లేదు']","['நான்', 'அல்லது', 'ஏதாவது', 'பயப்படுவது', 'இல்லை']"
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
['హోమ్'],['தமிழ்']
"['మరియు', 'ఎక్కువ', 'చాలా']","['மற்றும்', 'மிகவும்', 'மிகவும்']"
"['అభినందనలు', 'నేను', 'అది', 'ప్రేమ']","['நன்று', 'நான்', 'அதை', 'விரும்புகிறேன்']"
"['కాల్', 'మద్దతు']","['கால்', 'ஆதரவு']"
"['నుండి', 'పని']","['பின்னர்', 'தொழிலாள']"
"['మీరు', 'ఏమి', 'చేయాల్సి', 'ఉంటుంది']","['நீங்கள்', 'என்ன', 'செய்ய', 'வேண்டும்']"
"['డాడీ', 'నాకు', 'ప్రతి', 'రోజు', 'ఐస్', 'క్రీమ్', 'తెస్తుంది']","['டாடி', 'ஒவ்வொரு', 'நாளும்', 'என்னை', 'ஐஸ்கிரீம்', 'கொண்டு']"
"['మేము', 'లో', 'ప్రత్యుత్తరం', 'ఉంటుంది', 'గంటల']","['நாங்கள்', 'பதில்', 'அளிக்கப்படும்', 'மணி']"
['ఫోన్'],['தொலைபேசி']
"['పోస్ట్లు', 'లేవు']","['இடுகைகள்', 'இல்லை']"
['మే'],['மே']
"['సాధారణంగా', 'అది', 'ముగిసింది']","['பொதுவாக', 'அது', 'முடிந்துவிட்டது']"
['సంవత్సరాల'],['ஆண்டுகள்']
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
"['నన్ను', 'మరియు', 'నా', 'బృందాన్ని', 'నియమించాలనుకుంటున్నారా']","['என்னையும்', 'எனது', 'அணியையும்', 'பணியமர்த்த', 'விரும்புகிறீர்களா']"
"['కోసం', 'ఉచిత']",['இலவச']
"['మిస్లాండోడ్', 'లు', 'వెంట్రుక', 'పొడిగింపులు', 'కర్ల్']","['மிஸ்லாடோட்', 'பிசிக்கள்', 'மயிர்க்காலின்', 'நீட்டிப்பு', 'கர்ல்']"
"['గుడ్', 'రోజు']","['நல்ல', 'நாள்']"
"['మిస్లేలొడ్', 'లు', 'కర్ల్', 'ఫ్లాట్', 'వెంట్రుష్', 'ఎక్స్టెన్షన్']","['மிஸ்லாடோட்', 'பிசிக்கள்', 'மிமீ', 'டி', 'கர்ல்', 'ஃப்ளாட்', 'கண்ணிஷ்', 'நீட்டிப்பு']"
"['నుండి', 'వరకు', 'వారానికి', 'డేస్']","['ஒரு', 'வாரம்', 'நாட்கள்', 'இருந்து', 'மணி', 'வரை']"
"['మేము', 'మీరు', 'పరిష్కారాలను', 'ఇస్తుంది']","['நாங்கள்', 'உங்களுக்கு', 'தீர்வுகளை', 'கொடுக்கும்']"
"['మిస్లేలొడ్', 'లు', 'కర్ల్', 'ఫ్లాట్', 'వెంట్రుష్', 'ఎక్స్టెన్షన్']","['மிஸ்லாடோட்', 'பிசிக்கள்', 'மிமீ', 'டி', 'கர்ல்', 'ஃப்ளாட்', 'கண்ணிஷ்', 'நீட்டிப்பு']"
"['రోజుల', 'మీ', 'పూర్తి', 'చెల్లింపు', 'తర్వాత']","['நாட்கள்', 'உங்கள்', 'முழு', 'கட்டணம்', 'பிறகு']"
['ఫోన్'],['தொலைபேசி']
"['మీరు', 'స్వాగతం', 'మా', 'దుకాణం']","['நீங்கள்', 'வரவேற்கிறோம்', 'எங்கள்', 'கடை']"
"['మాకు', 'కాల్']","['எங்களை', 'அழைக்கவும்']"
['న్యూ'],['புதிய']
['మే'],['மே']
"['ఈ', 'విషయం', 'లో', 'ఒక', 'గొప్ప', 'ఉద్యోగం']","['இந்த', 'தலைப்பில்', 'ஒரு', 'பெரிய', 'வேலை']"
['కంటే'],['க்கும்']
['ఫోన్'],['தொலைபேசி']
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களுக்கு', 'அழைப்பு']"
['హోమ్'],['முகப்பு']
"['కోసం', 'దేవుడు', 'అసాధ్యమైనది', 'యేది', 'లేదు']","['ஐந்து', 'கடவுள்', 'முடியாதென்று', 'எதுவும்', 'கிடையாது']"
"['లో', 'మాకు', 'అనుసరించండి']","['இல்', 'எங்களை', 'பின்பற்றவும்']"
"['నేను', 'ఆసక్తి', 'కలిగి', 'ఉన్నాను', 'వర్తించే', 'అన్ని', 'తనిఖీ']","['நான்', 'ஆர்வமாக', 'இருக்கிறேன்', 'பொருந்தும்', 'அனைத்தும்', 'சரிபார்க்கவும்']"
"['ధన్యవాదాలు', 'మళ్ళీ']","['மீண்டும்', 'நன்றி']"
"['మీరు', 'ఎక్కడైనా', 'నాట్యం', 'మీ', 'గుండె', 'లో', 'మాత్రమే']","['நீங்கள்', 'எங்கு', 'ஆட', 'முடியும்', 'உங்கள்', 'இதயத்தில்', 'மட்டுமே']"
['తాజా'],['சமீபத்திய']
"['ఇతర', 'ఉపయోగపడే', 'ఫీచర్లను', 'ఉన్నాయి']","['மற்ற', 'பயனுள்ள', 'அம்சங்களை', 'உள்ளடக்கி']"
['చెప్పారు'],['என்கிறார்']
"['హా', 'హా', 'చాలా', 'ఫన్నీ']","['ஹஹா', 'மிகவும்', 'வேடிக்கையான']"
['చెప్పారు'],['என்கிறார்']
"['తర్వాత', 'పేజీ']","['அடுத்த', 'பக்கம்']"
"['గంట', 'నిమిషం']","['ஹவர்', 'நிமிடம்']"
"['ఏ', 'చెడు', 'వాసన']","['எந்த', 'விரும்பத்தகாத', 'வாசனையை']"
['ఫోన్'],['தொலைபேசி']
"['మిస్లాండోడ్', 'లు', 'కర్ల్', 'ప్రీఫిన్డ్', 'వాల్యూమ్', 'వెంట్రుష్']","['பிசிக்கள்', 'கர்ல்', 'முன்வார்ன்ட்', 'வால்யூம்', 'லீலாஷ்']"
"['వ్యాకరణం', 'ఈ', 'ఆ', 'ఏమి', 'ఉంది']","['இலக்கணம்', 'இந்த', 'என்று', 'என்ன']"
['టెల్'],['தொலைபேசி']
"['సేల్స్', 'హాట్లైన్ను']","['விற்பனை', 'ஹாட்லைன்']"
"['మాతో', 'చేరండి', 'మా', 'ఆనందించండి', 'అవకాశాలు']","['எங்களுக்கு', 'சேர', 'எங்கள்', 'அனுபவிக்க', 'வாய்ப்புகள்']"
"['ధన్యవాదాలు', 'మీరు', 'ఏ', 'ఆలోచనలు', 'వచ్చింది', 'ఉంటే', 'నాకు', 'తెలపండి']","['நீங்கள்', 'எந்த', 'யோசனையும்', 'கிடைத்தால்', 'எனக்குத்', 'தெரியப்படுத்துங்கள்']"
"['దయచేసి', 'మరింత', 'సమాచారం', 'కోసం', 'సంప్రదించండి']","['மேலும்', 'தகவலுக்கு', 'எங்களை', 'தொடர்பு', 'கொள்ளவும்']"
"['మీరు', 'తో', 'మంచి', 'డబ్బు', 'చేయవచ్చు']","['நீங்கள்', 'உடன்', 'நல்ல', 'பணம்', 'முடியுமா']"
"['మొదటి', 'పేరు', 'చివరి', 'పేరు']","['முதல்', 'பெயர்', 'கடைசி', 'பெயர்']"
"['అందరూ', 'మేము', 'అన్ని', 'ఉన్నాయి']","['எல்லோரும்', 'நாங்கள்', 'எல்லோரும்']"
"['©', 'టెక్నాలజీస్']","['©', 'ஊபர்', 'டெக்னாலஜீஸ்', 'இன்க்']"
"['ఇది', 'అంత', 'సులభమా']","['இது', 'இவ்வளவு', 'சுலபமா']"
"['కేవలం', 'ఒక', 'ఆలోచన']","['ஒரு', 'சிந்தனை']"
"['చిరునామాలు', 'మరియు', 'సంస్థలు', 'గురించి', 'సమీక్షలు']","['நிறுவனங்கள்', 'பற்றி', 'முகவரிகள்', 'மற்றும்', 'விமர்சனங்களை']"
"['©', 'మమ్మల్ని', 'సంప్రదించండి', 'సైట్', 'మ్యాప్']","['©', 'எங்களை', 'தொடர்பு', 'கொள்ள', 'தள', 'வரைபடம்']"
"['సహాయం', 'కనుగొనండి']","['உதவியைக்', 'கண்டுபிடி']"
"['©', 'మమ్మల్ని', 'సంప్రదించండి', 'సైట్', 'మ్యాప్']","['©', 'எங்களை', 'தொடர்பு', 'கொள்ள', 'தள', 'வரைபடம்']"
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
"['నేను', 'మీరు', 'ఒక', 'గొప్ప', 'కలిగి', 'ఆశిస్తున్నాము']","['நான்', 'உங்களுக்கு', 'ஒரு', 'பெரிய', 'வேண்டும்', 'என்று', 'நான்', 'நம்புகிறேன்']"
"['సమస్యలు', 'మీరు', 'వచ్చారు', 'ముందు', 'మేము', 'సమస్యలను', 'పరిష్కరించటానికి']","['பிரச்சினைகள்', 'நீங்கள்', 'வருமுன்', 'நாம்', 'பிரச்சினைகளை', 'தீர்க்க']"
"['కానీ', 'అది', 'ప్రారంభం', 'మాత్రమే']","['ஆனால்', 'அது', 'ஒரு', 'ஆரம்பம்', 'மட்டுமே']"
"['మాత్రమే', 'ఆమె', 'ఆమె', 'అవసరం', 'అన్ని', 'కలిగి', 'ఉంటే']","['அவள்', 'அந்த', 'வேண்டும்', 'என்று', 'அனைத்து', 'வந்துவிட்டுப்']"
"['దుబాయ్', 'మేము', 'వస్తున్నారా']","['துபாய்', 'நாம்', 'வருகிறார்கள்']"
"['మాకు', 'మెయిల్', 'చేయండి']","['எங்களுக்கு', 'மின்னஞ்சல்', 'அனுப்ப']"
"['పఠనం', 'కొనసాగించండి']","['தொடர்ந்து', 'படிக்க']"
"['హలో', 'మాట్', 'ఎలా', 'మీరు', 'నేడు']","['வணக்கம்', 'மாட்', 'இன்று', 'எப்படி', 'இருக்கிறீர்கள்']"
['మే'],['மே']
"['అయితే', 'సహాయం', 'ధన్యవాదాలు']","['என்றாலும்', 'உதவியதற்கு', 'நன்றி']"
"['అవును', 'ఇది', 'కూడా', 'అలాంటిదే']","['ஆமாம்', 'இரண்டும்', 'ஒன்று', 'தான்']"
['బరువు'],['எடை']
"['అంటే', 'ఏమిటి', 'మరియు', 'వారు', 'ఏమి', 'చేస్తారు']","['என்றால்', 'என்ன', 'அவர்கள்', 'என்ன', 'செய்கிறார்கள்']"
['ఫోన్'],['தொலைபேசி']
"['మానవులు', 'ఏమి', 'చేస్తారు']","['மனிதர்கள்', 'என்ன', 'செய்ய', 'வேண்டாம்']"
['ఫోన్'],['தொலைபேசி']
['పూర్తికాని'],['கூட்டுத்தொகை']
"['ఎప్పుడైనా', 'ఎక్కడైనా', 'ఉపయోగించండి']","['எப்போது', 'எங்கும்', 'பயன்படுத்தவும்']"
"['వ్యాఖ్యలు', 'పేజీ', 'యొక్క']","['கருத்துரைகள்', 'பக்கம்', 'உள்ள', '»']"
"['మా', 'ఉత్పత్తులు', 'రెండు', 'విభాగాలు', 'ఉన్నాయి']","['எங்கள்', 'தயாரிப்புகள்', 'இரண்டு', 'பிரிவுகள்', 'உள்ளன']"
"['వరకు', 'సేవ్']","['மேலான', 'சேமிப்பு']"
"['—', 'చిరునామాలు', 'మరియు', 'సంస్థలు', 'గురించి', 'సమీక్షలు']","['—', 'நிறுவனங்கள்', 'பற்றி', 'முகவரிகள்', 'மற்றும்', 'விமர்சனங்களை']"
['ఫోన్'],['தொலைபேசி']
"['మళ్ళీ', 'హలో']","['மீண்டும்', 'வணக்கம்']"
"['తర్వాత', 'పేజీ']","['அடுத்து', 'பக்கம்']"
"['ప్లస్', 'బహుశా', 'ఈ', 'ఇయర్']","['பிளஸ்', 'ஒருவேளை', 'இந்த', 'ஆண்டு']"
"['నీకు', 'ఏమి', 'కావాలి']","['உனக்கு', 'என்ன', 'வேண்டும்']"
"['స్నేహం', 'విశ్వాసం', 'ప్రేమ', 'పొందడానికి', 'మార్పిడి', 'ద్వారా', 'అన్ని']","['நட்பு', 'நம்பிக்கை', 'அன்பு', 'பரிமாற்றம்', 'மூலம்', 'அனைத்து', 'பெற']"
"['తర్వాత', 'పేజీ']","['அடுத்து', 'பக்கம்']"
"['ఇమెయిల్', 'మద్దతు']","['மின்னஞ்சல்', 'ஆதரவு']"
"['ఇప్పటికే', 'సభ్యులా']","['ஏற்கனவே', 'உறுப்பினரா']"
"['మీ', 'జీవితంలోని', 'ప్రతి', 'క్షణం', 'ఆనందించండి']","['உங்கள்', 'வாழ்வின்', 'ஒவ்வொரு', 'நொடியும்', 'அனுபவிக்க']"
['టెలిఫోన్'],['தொலைபேசி']
"['పోస్ట్', 'చేసిన', 'తేదీ', 'ద్వారా', 'అడ్మిన్']","['அன்று', 'மூலம்', 'நிர்வாகம்']"
['ఛానల్'],['சேனல்']
['సెప్టెంబర్'],['செப்டம்பர்']
"['ప్రశ్న', 'మరింత', 'సమాచారం', 'కావాలా', 'మాకు', 'సందేశం', 'పంపండి']","['கேள்வி', 'மேலும்', 'தகவல்', 'தேவையா', 'எங்களுக்கு', 'செய்தி', 'அனுப்பு']"
"['పేజీ', 'యొక్క', 'తదుపరి', 'చివరి']","['பக்கம்', 'என்ற', 'அடுத்த', 'கடந்த']"
"['ఈ', 'పేజీలో', 'చివరి', 'న', 'నవీకరించబడింది']","['இப்பக்கம்', 'கடைசியாக', 'அன்று', 'புதுப்பிக்கப்பட்டது']"
"['మరియు', 'మీ', 'కుటుంబ……']","['மற்றும்', 'உங்கள்', 'குடும்ப……']"
"['సులభంగా', 'మీ', 'కొనుగోలు', 'సమస్యలు', 'పరిష్కరించడానికి']","['எளிதாக', 'உங்கள்', 'வாங்கும்', 'பிரச்சினைகளை', 'தீர்க்க']"
"['నాకు', 'ఇతర', 'ప్రశ్నలు', 'ఉంటే']","['எனக்கு', 'வேறு', 'கேள்விகள்', 'இருந்தால்', 'என்ன']"
"['ఆట', 'యొక్క', 'నియమాలు']","['விளையாட்டின்', 'விதிகள்']"
['ప్రేక్షకులు'],['பார்வையாளர்கள்']
"['పేజీ', 'యొక్క']","['பக்கம்', 'என்ற']"
"['మీరు', 'ఒక', 'మానవ', 'ఉంటాయి', 'మరియు', 'ఈ', 'రంగంలో', 'చూసిన', 'ఉంటే', 'దయచేసి', 'ఖాళీగా', 'వదిలివేయండి']","['நீங்கள்', 'ஒரு', 'மனித', 'உள்ளன', 'மற்றும்', 'இந்த', 'துறையில்', 'காண்கிறீர்கள்', 'என்றால்', 'அது', 'வெற்று', 'விடுங்கள்']"
"['ఒక', 'రహస్య', 'వివరించారు']","['ஒரு', 'இரகசிய', 'விளக்கினார்']"
['జూన్'],['ஜூன்']
"['ఈ', 'పేజీలో', 'చివరి', 'న', 'నవీకరించబడింది']","['இப்பக்கம்', 'கடைசியாக', 'அன்று', 'புதுப்பிக்கப்பட்டது']"
['ఫోన్లు'],['தொலைபேசிகள்']
"['మీరు', 'ఏ', 'దశలో', 'ఉన్నారు']","['எந்த', 'நிலையில்', 'உள்ளீர்கள்']"
"['ఎవరు', 'ఈ', 'కోర్సు', 'కోసం', 'వెళ్ళాలి']","['இந்த', 'போக்கிற்கு', 'யார்', 'போகவேண்டும்']"
"['మరియు', 'ఆమె', 'ఎల్లప్పుడూ', 'నిశ్శబ్ద', 'ఉంది']","['அவள்', 'எப்போதும்', 'அமைதியாக', 'இருக்கிறது']"
"['నా', 'ఇంటిలో', 'ఉపయోగించడానికి', 'సురక్షితం']","['என்', 'வீட்டில்', 'பயன்படுத்த', 'பாதுகாப்பானதா']"
"['మీకు', 'ఏవైనా', 'ప్రశ్నలు', 'ఉంటే', 'దయచేసి', 'మాకు', 'తెలియజేయండి', 'మేము', 'మీకు', 'గంటల్లో', 'ప్రత్యుత్తరం', 'ఇస్తాము']","['உங்களிடம்', 'ஏதேனும்', 'கேள்விகள்', 'இருந்தால்', 'எங்களுக்குத்', 'தெரியப்படுத்துங்கள்', 'நாங்கள்', 'உங்களுக்கு', 'மணி', 'நேரத்திற்குள்', 'பதிலளிப்போம்']"
"['ఒక', 'బిచ్చగాడు', 'వలయాలు']","['ஒரு', 'பிச்சைக்காரன்', 'மோதிரங்கள்']"
"['ఇప్పుడు', 'దీనిని', 'ఊహించండి']","['இப்பொழுது', 'இதை', 'நீங்கள்', 'கற்பனை', 'செய்யுங்கள்']"
"['పేజీ', 'యొక్క', 'తదుపరి', 'చివరి']","['பக்கம்', 'என்ற', 'அடுத்த', 'கடந்த']"
"['కంటే', 'ఎక్కువ', 'సంవత్సరాల', 'అనుభవం', 'తో']","['வருடங்களுக்கும்', 'மேலாக', 'அனுபவம்']"
['టెల్'],['தொலைபேசி']
"['ఇప్పుడు', 'కాల్', 'చేయండి']","['இப்போது', 'அழைக்கவும்']"
"['ప్రజలు', 'యేసు', 'నేడు', 'అవసరం', 'నిజం', 'బహిర్గతం', 'అవుతుంది']","['மக்கள்', 'உண்மை', 'தெரிய', 'வரும்', 'இயேசு', 'இன்று', 'வேண்டும்']"
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
"['ప్రాంతాలు', 'పారిశ్రామిక', 'మొక్కలు', 'లేకపోవడంతో', 'పర్యావరణ', 'శుభ్రత']","['நகரத்திற்கு', 'அருகாமையில்']"
['ఫోన్'],['தொலைபேசி']
['ప్రశ్న'],['கேள்வி']
"['మా', 'ఉత్పత్తులు', 'లేదా', 'గురించి', 'విచారణ', 'కోసం', 'మాకు', 'మీ', 'ఇమెయిల్', 'వదిలి', 'మరియు', 'మేము', 'గంటల్లో', 'టచ్', 'ఉంటుంది']","['எங்கள்', 'தயாரிப்புகள்', 'அல்லது', 'பற்றி', 'விசாரணைக்காக', 'எங்களுக்கு', 'உங்கள்', 'மின்னஞ்சல்', 'முகவரியையும்', 'கொடுத்துவிட்டுச்', 'நாங்கள்', 'மணி', 'நேரத்திற்குள்', 'தொடர்பு', 'இருப்பேன்']"
"['ప్రతి', 'నిమిషాలు', 'ప్రతి', 'నిమిషాలు', 'ప్రతి', 'గంట']","['ஒவ்வொரு', 'நிமிடங்களிலும்', 'ஒவ்வொரு', 'நிமிடங்களிலும்', 'ஒவ்வொரு', 'மணி', 'நேரமும்']"
"['హోమ్', '»', 'కొత్త', 'గేమ్స్']","['முகப்பு', '»', 'புதிய', 'கேம்ஸ்']"
"['ఈ', 'పేజీలో', 'చివరి', 'న', 'నవీకరించబడింది']","['இப்பக்கம்', 'கடைசியாக', 'அன்று', 'புதுப்பிக்கப்பட்டது']"
['ఫోన్'],['தொலைபேசி']
"['ఇప్పటికే', 'సభ్యులా']","['ஏற்கனவே', 'உறுப்பினரா']"
['టెల్'],['டெல்']
"['అన్నీ', 'చూపించు', 'ఆటో', 'ఆహార', 'వినోదం', 'కొనుగోలు', 'అందం', 'ఆరోగ్యం', 'జంతువులు', 'ఇతర']","['அனைத்து', 'காட்ட', 'ஆட்டோ', 'உணவு', 'பொழுதுபோக்கு', 'கொள்முதல்', 'அழகு', 'சுகாதாரம்', 'விலங்குகள்', 'மற்ற']"
"['మీ', 'దుస్తులు', 'నన్ను', 'ఏదో', 'నేర్పించాలని', 'కోరుకుంటున్నాను']","['உங்கள்', 'ஆடை', 'எனக்கு', 'ஏதாவது', 'கற்பிக்க', 'விரும்புகிறது']"
"['ద్వారా', 'థీమ్']","['மூலம்', 'வேர்ட்பிரஸ்', 'தீம்']"
['డిసెంబర్'],['டிசெம்பர்']
"['అన్ని', 'చాలా', 'సులభమైన', 'పరిష్కారం']","['டேரியஸ்ஸஸ்', 'அவ்வளவு', 'எளிதான', 'பிழைத்திருத்தம்']"
"['ఏవైనా', 'ప్రశ్నలు', 'వున్నాయ']","['ஏதாவது', 'கேள்விகள்']"
['లేదా'],['இயல்பான']
['అడ్మిషన్'],['சேர்க்கை']
"['దీని', 'అర్థం', 'ఏమిటి']","['இதற்கு', 'என்ன', 'அர்த்தம்']"
['నుండి'],['இருந்து']
"['దయచేసి', 'ఇక్కడ', 'వీడియో', 'ఆనందించండి']","['தயவு', 'செய்து', 'இங்கே', 'வீடியோவை', 'அனுபவிக்கவும்']"
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களுக்கு', 'அழைப்பு']"
"['ప్రజలు', 'మరియు', 'విశ్వాసం']","['மக்கள்', 'மற்றும்', 'நம்பிக்கை']"
['ఫోన్'],['தொலைபேசி']
"['కాల్', 'మద్దతు']","['கால்', 'ஆதரவு']"
"['ఈ', 'పేజీలో', 'చివరి', 'న', 'నవీకరించబడింది']","['இப்பக்கம்', 'கடைசியாக', 'அன்று', 'புதுப்பிக்கப்பட்டது']"
"['కథ', 'దయచేసి', 'కన్నా', 'ఎక్కువ', 'పదాలను', 'రాయండి']","['கதை', 'தயவுசெய்து', 'க்கும்', 'மேற்பட்ட', 'சொற்களை', 'எழுதவும்']"
['ఫోన్'],['தொலைபேசி']
"['ఇంకా', 'చదవండి']","['மேலும்', 'படிக்க']"
"['పర్యావరణ', 'పరిరక్షణకు']","['சுற்றுச்சூழலைப்', 'பாதுகாக்க']"
"['గంటల్లో', 'ప్రత్యుత్తరం']","['மணி', 'பதிலளியுங்கள்']"
"['మీరు', 'మా', 'ఉత్పత్తులు', 'ఆసక్తి', 'ఉంటే']","['நீங்கள்', 'எங்கள்', 'தயாரிப்புகள்', 'ஆர்வமாக', 'இருந்தால்']"
"['మొదటి', 'పేరు', 'మధ్య', 'పేరు', 'మరియు', 'చివరి', 'పేరు']","['முதல்', 'பெயர்', 'மத்திய', 'பெயர்', 'மற்றும்', 'கடைசி', 'பெயர்']"
"['ఇది', 'కూడా', 'ఒక', 'పెద్ద', 'విధంగా', 'చెల్లించవచ్చు']","['அது', 'கூட', 'ஒரு', 'பெரிய', 'வழியில்', 'செலுத்த', 'முடியும்']"
"['మరియు', 'నేను', 'ప్రతి', 'రోజు', 'మీరు', 'చెప్పడానికి', 'ఖచ్చితంగా', 'ఉంటాం']","['நான்', 'ஒவ்வொரு', 'நாளும்', 'நீங்கள்', 'சொல்ல', 'உறுதி', 'வேண்டும்']"
['ఫోన్'],['தொலைபேசி']
['ఫోన్'],['தொலைபேசி']
